,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmycWT_1,CPM.LPmycWT_2,CPM.LPmycWT_3,CPM.LPmycWT_4,CPM.LPmycpho2_1,CPM.LPmycpho2_2,CPM.LPmycpho2_3,CPM.LPmycpho2_4
53470,AGIS_Os12g002070,-4.628214e-01, 3.869670e+00, 8.827875e+00,1.091634e-02,8.248417e-02,Not_significant,1.733027e+01,1.479053e+01,1.928559e+01,1.587259e+01,1.228499e+01,9.217851e+00,1.539481e+01,1.244356e+01
53471,AGIS_Os12g002080,-1.589127e-02,-7.649807e-01, 3.111047e-04,9.861978e-01,9.944423e-01,Not_significant,1.772414e-01,7.214894e-01,1.129561e+00,3.220525e-01,2.262430e-01,5.626695e-01,6.373012e-01,5.829777e-01
53473,AGIS_Os12g002100, 6.258152e-01, 2.444960e-01, 1.185836e+00,2.961270e-01,5.495831e-01,Not_significant,5.514178e-01,3.884943e-01,9.302266e-01,1.863304e+00,5.429831e-01,1.621812e+00,1.752578e+00,1.467495e+00
53477,AGIS_Os12g002140, 4.423206e-01,-1.876078e+00, 1.144299e-01,7.406065e-01,8.740211e-01,Not_significant,3.938699e-02,2.219967e-01,1.328895e-01,4.370712e-01,3.619887e-01,2.813348e-01,7.966265e-02,3.216428e-01
53478,AGIS_Os12g002150, 9.460283e-01,-3.603887e-02, 2.262471e+00,1.566631e-01,3.886450e-01,Not_significant,3.938699e-01,4.439935e-01,1.096338e+00,7.131162e-01,1.266961e+00,1.323928e+00,7.966265e-01,1.407187e+00
53479,AGIS_Os12g002160,-1.048752e-01, 2.997219e+00, 2.694040e-01,6.125343e-01,7.972961e-01,Not_significant,1.039816e+01,8.241629e+00,7.242478e+00,7.200173e+00,7.488642e+00,6.900976e+00,8.284916e+00,7.799839e+00
53480,AGIS_Os12g002170,-5.096054e-01, 1.479519e+00, 2.700915e+00,1.244650e-01,3.418903e-01,Not_significant,2.501074e+00,4.356686e+00,3.338849e+00,2.760450e+00,1.945690e+00,2.978839e+00,1.891988e+00,2.231397e+00
53483,AGIS_Os12g002200, 1.727891e+00,-1.192534e+00, 1.740292e+00,2.100737e-01,4.578334e-01,Not_significant,0.000000e+00,1.109984e-01,3.986685e-01,4.140675e-01,4.298616e-01,4.964731e-01,1.095361e+00,2.010268e-01
53486,AGIS_Os12g002230, 3.469239e-01, 3.460921e+00, 2.509848e+00,1.377843e-01,3.623145e-01,Not_significant,1.224935e+01,9.074117e+00,9.219210e+00,7.982301e+00,8.551984e+00,1.499349e+01,1.312442e+01,1.254407e+01
53487,AGIS_Os12g002240, 9.181701e-01, 3.850110e-01, 2.960518e+00,1.092370e-01,3.180385e-01,Not_significant,9.846747e-01,4.439935e-01,1.445173e+00,6.901125e-01,1.289585e+00,2.283776e+00,1.633084e+00,1.286571e+00
53488,AGIS_Os12g002250, 6.270195e-01, 3.954340e-01, 1.290911e+00,2.765788e-01,5.311648e-01,Not_significant,6.104983e-01,8.324878e-01,9.800601e-01,1.610262e+00,1.357458e+00,1.836951e+00,2.190723e+00,7.639018e-01
53492,AGIS_Os12g002290, 5.214751e-01, 3.386748e+00, 8.792054e+00,1.104320e-02,8.307286e-02,Not_significant,6.892723e+00,9.795606e+00,9.867046e+00,7.752263e+00,1.054292e+01,1.434807e+01,1.147142e+01,1.266469e+01
