GeneID	WTHPmock_1	WTHPmock_2	WTHPmock_3	WTHPmock_4	WTHPmyc_1	WTHPmyc_2	WTHPmyc_3	WTHPmyc_4
AGIS_Os01g002640	0	317	222	784	195	370	339	360
AGIS_Os01g002650	185	191	145	207	361	160	169	150
AGIS_Os01g002660	2520	3178	2840	4229	3876	2834	2696	3287
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	19	101	7	126	32	102	129	79
AGIS_Os01g002720	185	970	153	1866	341	1082	1607	1460
AGIS_Os01g002730	0	6	0	0	0	0	1	0
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	235	179	179	158	362	146	124	109
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	638	792	398	549	726	408	309	470
AGIS_Os01g002790	1	26	22	12	58	26	16	40
AGIS_Os01g002800	7600	5906	4515	6805	7795	4149	3058	5231
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	625	460	270	343	518	216	267	278
AGIS_Os01g002830	943	889	560	604	1042	495	244	703
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	186	102	58	143	364	20	66	59
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1977	1952	1667	2141	2588	1083	883	1513
AGIS_Os01g002910	21744	11206	9903	13086	22621	8193	9590	11441
AGIS_Os01g002920	109	215	166	269	458	120	196	142
AGIS_Os01g002930	0	6	14	2	20	6	2	0
AGIS_Os01g002940	248	1300	883	828	793	904	1450	224
AGIS_Os01g002950	16	0	0	0	0	1	6	0
AGIS_Os01g002960	12	18	38	0	40	18	6	15
AGIS_Os01g002970	20	0	16	0	0	0	0	0
AGIS_Os01g002980	397	338	274	389	586	215	206	352
AGIS_Os01g002990	119	281	133	263	249	208	187	175
AGIS_Os01g003000	6350	4206	3136	5666	8064	2530	2136	4823
AGIS_Os01g003010	20	45	36	68	108	41	76	28
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	55	246	63	326	122	131	138	269
AGIS_Os01g003050	179	188	204	154	207	142	96	71
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2701	2337	2149	2853	3556	2005	2260	2337
AGIS_Os01g003080	283	445	453	674	410	373	415	521
AGIS_Os01g003090	10	27	10	56	14	68	2	12
AGIS_Os01g003100	0	26	0	4	0	18	1	10
AGIS_Os01g003110	261	223	172	232	162	140	73	140
AGIS_Os01g003120	2	48	36	54	103	70	100	144
AGIS_Os01g003130	1397	1548	1590	1838	1855	1300	954	1827
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1202	1100	608	882	1173	863	843	798
AGIS_Os01g003160	33	28	14	78	6	20	20	11
AGIS_Os01g003170	1965	1440	1402	1838	2411	1226	652	1296
AGIS_Os01g003180	0	0	0	0	0	2	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	0	0	0
AGIS_Os01g003210	86	12	46	54	34	38	28	60
AGIS_Os01g003220	699	442	316	340	719	483	185	254
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	2610	2073	1575	2490	2812	1132	897	2038
AGIS_Os01g003250	0	0	4	12	0	0	0	14
AGIS_Os01g003260	60	18	14	56	42	8	19	24
AGIS_Os01g003270	0	6	10	2	16	20	1	4
AGIS_Os01g003280	76	72	138	178	408	120	65	86
AGIS_Os01g003290	924	1681	854	1656	1163	1186	1177	1644
AGIS_Os01g003300	1856	957	1141	1023	1869	755	491	948
AGIS_Os01g003310	0	14	2	0	0	4	8	0
AGIS_Os01g003320	1242	587	470	1096	1229	611	470	845
AGIS_Os01g003330	20	37	38	54	48	36	54	34
AGIS_Os01g003340	0	16	14	22	0	0	0	0
AGIS_Os01g003350	26	22	0	52	66	15	20	4
AGIS_Os01g003360	26	18	61	36	0	6	18	0
AGIS_Os01g003370	71	20	30	87	14	14	32	56
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	0	0	0	19	0	0	24	8
AGIS_Os01g003400	0	14	0	0	0	0	0	0
AGIS_Os01g003410	0	0	0	0	0	0	0	0
AGIS_Os01g003420	16	3	0	19	1	10	5	5
AGIS_Os01g003430	0	0	0	0	0	0	0	0
AGIS_Os01g003440	2	91	20	30	92	16	51	40
AGIS_Os01g003450	1540	933	668	1261	983	637	576	886
AGIS_Os01g003460	48	104	84	210	8	32	26	22
AGIS_Os01g003470	58	11	13	46	70	50	24	26
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	140	81	74	178	276	74	103	56
AGIS_Os01g003500	1506	1634	2020	2860	2415	1108	2180	1633
AGIS_Os01g003510	4	89	78	142	70	43	10	35
AGIS_Os01g003520	13617	11485	7267	11611	14846	7291	7616	12477
AGIS_Os01g003530	0	22	14	34	0	16	24	52
AGIS_Os01g003540	146	107	58	82	266	126	156	141
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	30	110	85	56	174	44	30	94
AGIS_Os01g003570	0	0	0	0	0	6	0	0
AGIS_Os01g003580	947	538	512	768	1035	288	350	458
AGIS_Os01g003590	194	238	205	352	132	258	196	204
AGIS_Os01g003600	7314	5664	5413	6923	9322	4378	4093	4821
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	56	26	0	9	51	26	14	16
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	300	208	160	228	199	133	338	201
AGIS_Os01g003700	1651	4277	3018	4613	3669	3500	2843	4321
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	8	82	8	98	0	50	46	65
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	0	11	40	89	64	28	29	21
AGIS_Os01g003750	12	171	60	206	219	264	189	244
AGIS_Os01g003760	615	735	486	927	1018	452	496	914
AGIS_Os01g003770	257	232	163	331	361	203	189	300
AGIS_Os01g003780	251	350	203	556	407	294	165	211
AGIS_Os01g003790	1139	1164	1574	1826	2256	1168	997	999
AGIS_Os01g003800	2775	3065	2064	3148	3138	2136	1427	2641
AGIS_Os01g003810	4026	3379	2262	3203	5264	2092	1958	3767
