,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
897,AGIS_Os01g008970,-4.609936e-01, 5.2777302212, 5.789362e+00,4.120104e-02,0.546097277,Not_significant,5.924221e+01,2.837428e+01,6.300701e+01,2.901940e+01,4.383698e+01,1.574908e+01,3.905065e+01,3.179750e+01
900,AGIS_Os01g009000, 1.944803e-02, 4.0457862774, 1.249924e-02,9.135930e-01,0.978057827,Not_significant,1.407163e+01,1.682911e+01,1.668721e+01,1.773962e+01,1.467101e+01,1.441267e+01,1.926316e+01,1.816294e+01
901,AGIS_Os01g009010, 1.150520e+00, 2.7652657051, 5.957633e+00,4.097869e-02,0.545141378,UP,9.231162e+00,3.461894e+00,3.788323e+00,1.568616e+00,1.032839e+01,4.626036e+00,8.845097e+00,1.225134e+01
902,AGIS_Os01g009020, 6.038318e-02, 4.8702143780, 1.668347e-01,6.930986e-01,0.913956530,Not_significant,3.647487e+01,2.776141e+01,2.519351e+01,2.534028e+01,3.503437e+01,2.917487e+01,2.776631e+01,2.693978e+01
903,AGIS_Os01g009030,-1.848764e-01, 2.2010212734, 4.442715e-01,5.228514e-01,0.851769876,Not_significant,7.324959e+00,2.600561e+00,4.694731e+00,4.919750e+00,6.264521e+00,2.816742e+00,3.191530e+00,4.676587e+00
907,AGIS_Os01g009070, 1.870243e+00,-1.9942843177, 1.659499e+00,2.318325e-01,0.705411890,Not_significant,0.000000e+00,1.987690e-01,4.648249e-02,2.281623e-01,1.760521e-01,3.700829e-01,1.823731e-01,4.940057e-01
908,AGIS_Os01g009080,-2.094830e-01,-1.0390275289, 3.943326e-02,8.472889e-01,0.962103557,Not_significant,2.570161e-01,5.300507e-01,3.718599e-01,6.131863e-01,5.574984e-01,5.140040e-01,6.838992e-02,6.586742e-01
909,AGIS_Os01g009090, 4.488497e-01, 2.9545147620, 8.934234e-01,3.731985e-01,0.783071814,Not_significant,4.197930e+00,7.652607e+00,2.695984e+00,1.364696e+01,7.511557e+00,6.394209e+00,1.169468e+01,7.904090e+00
912,AGIS_Os01g009120,-3.132450e-01, 3.6698250005, 2.252646e+00,1.698013e-01,0.664746152,Not_significant,2.088256e+01,1.061758e+01,1.169035e+01,1.339028e+01,1.336529e+01,1.048568e+01,7.819248e+00,1.327229e+01
914,AGIS_Os01g009140,-9.213715e-02,-0.2091912145, 1.319150e-02,9.112439e-01,0.977238418,Not_significant,7.710483e-01,9.441528e-01,3.718599e-01,1.283413e+00,6.308534e-01,6.784852e-01,1.436188e+00,5.104725e-01
