GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g001400	8	0	10	8	10	6	16	1
AGIS_Os01g001410	0	0	0	0	2	8	20	0
AGIS_Os01g001420	0	0	0	0	1	0	0	0
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	27	40	31	26	85	21	64	13
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	18	6	0	8	24	20	47	17
AGIS_Os01g001470	5	41	18	24	4	16	26	55
AGIS_Os01g001480	0	0	0	0	28	7	12	9
AGIS_Os01g001490	0	18	8	0	0	0	0	24
AGIS_Os01g001500	22	0	0	0	0	0	14	2
AGIS_Os01g001510	0	0	0	0	14	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	0	0	0	0	0	0
AGIS_Os01g001550	0	0	0	6	0	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	170	145	131	152	105	75	178	98
AGIS_Os01g001580	142	112	54	91	113	129	147	74
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	0	0	0	0
AGIS_Os01g001640	16	0	0	8	0	0	4	0
AGIS_Os01g001650	27	46	30	24	18	7	12	24
AGIS_Os01g001660	6	0	0	0	0	0	0	0
AGIS_Os01g001670	0	0	1	0	0	0	0	0
AGIS_Os01g001680	603	665	742	715	809	602	974	749
AGIS_Os01g001690	11	6	8	12	22	44	30	19
AGIS_Os01g001700	0	0	0	0	0	14	0	0
AGIS_Os01g001710	107	70	26	43	38	20	79	55
AGIS_Os01g001720	0	14	0	0	0	4	16	0
AGIS_Os01g001730	10	34	35	6	16	18	13	0
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	56	38	41	84	67	42	58	47
AGIS_Os01g001790	1	8	8	0	0	10	14	22
AGIS_Os01g001800	2	2	15	18	0	3	6	2
AGIS_Os01g001810	10	4	4	1	15	3	0	0
AGIS_Os01g001820	10	0	12	0	0	7	29	11
AGIS_Os01g001830	5872	6982	10007	8254	12971	8476	14502	9533
AGIS_Os01g001840	491	551	737	550	607	433	817	776
AGIS_Os01g001850	183	180	237	99	72	29	93	96
AGIS_Os01g001860	2937	4724	6237	5003	3231	1666	2115	2897
AGIS_Os01g001870	237	165	334	193	188	123	131	216
AGIS_Os01g001880	2284	3330	3774	3177	1753	1044	1749	1946
AGIS_Os01g001890	161	411	551	379	435	186	240	441
AGIS_Os01g001900	1278	1176	1874	2059	1103	662	1252	1409
AGIS_Os01g001910	0	38	31	41	0	0	16	0
AGIS_Os01g001920	583	548	739	702	576	488	798	643
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	0	5	3	12	43	31	19
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
