ID,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTLPmock_1,CPM.WTLPmock_2,CPM.WTLPmock_3,CPM.WTLPmock_4,CPM.WTLPmyc_1,CPM.WTLPmyc_2,CPM.WTLPmyc_3,CPM.WTLPmyc_4
4630,AGIS_Os01g046300, 2.654658e-01, 5.0461165248, 2.295295e+00,1.584674e-01,3.667369e-01,Not_significant,3.322957e+01,3.579510e+01,2.924853e+01,2.224199e+01,3.264583e+01,3.849182e+01,3.908445e+01,3.291381e+01
4632,AGIS_Os01g046320, 2.099256e+00,-0.0570549364, 1.535879e+00,2.414838e-01,4.739651e-01,Not_significant,1.011555e-01,0.000000e+00,2.440053e+00,2.546793e-01,3.454586e-01,1.398597e+00,4.761929e-01,1.985750e+00
4635,AGIS_Os01g046350,-4.184407e+00, 0.3486743890, 7.819598e+00,1.770453e-02,8.975683e-02,Not_significant,1.416176e+00,2.765286e+00,1.284238e+00,2.122328e+00,0.000000e+00,1.216171e-01,0.000000e+00,1.737531e+00
4636,AGIS_Os01g046360, 7.719281e-01, 3.3160718542, 5.462791e+00,3.975852e-02,1.541639e-01,Not_significant,5.108350e+00,8.295859e+00,1.046654e+01,5.560499e+00,1.338652e+01,8.574007e+00,1.150189e+01,1.608457e+01
4637,AGIS_Os01g046370, 1.922053e-01, 5.2848162556, 1.055559e+00,3.266876e-01,5.645986e-01,Not_significant,3.879312e+01,3.326025e+01,4.064614e+01,3.196226e+01,3.489132e+01,4.025527e+01,3.868152e+01,5.272166e+01
4638,AGIS_Os01g046380,-8.079639e-02, 4.9788950535, 2.174495e-01,6.502530e-01,8.173047e-01,Not_significant,4.066449e+01,2.338971e+01,3.062908e+01,3.391480e+01,4.059138e+01,2.408019e+01,2.260085e+01,3.574350e+01
4639,AGIS_Os01g046390, 2.379027e-01, 0.0493668310, 5.248115e-02,8.230804e-01,9.181227e-01,Not_significant,5.563550e-01,1.382643e+00,4.815894e-01,1.018717e+00,1.813657e+00,6.080856e-01,1.098907e+00,5.957250e-01
4641,AGIS_Os01g046410, 7.060607e-01, 0.7408840002, 4.614442e-01,5.112434e-01,7.211552e-01,Not_significant,5.057773e-01,9.985757e-01,3.435337e+00,5.518052e-01,2.547757e+00,1.094554e+00,6.593441e-01,2.829694e+00
4645,AGIS_Os01g046450,-4.641530e-01, 5.5638211060, 7.631776e+00,1.875573e-02,9.319371e-02,Not_significant,3.671943e+01,6.997711e+01,5.666701e+01,5.607190e+01,3.420040e+01,5.405881e+01,3.699653e+01,3.301309e+01
4646,AGIS_Os01g046460,-1.975204e-01, 3.3619938147, 5.235678e-01,4.846988e-01,7.016400e-01,Not_significant,8.598214e+00,1.113796e+01,1.239290e+01,1.120589e+01,1.170241e+01,6.932176e+00,1.054951e+01,8.985519e+00
4647,AGIS_Os01g046470, 4.942186e-01, 2.2517401467, 1.767679e+00,2.110646e-01,4.360285e-01,Not_significant,3.338130e+00,2.688473e+00,5.393801e+00,4.202209e+00,3.972774e+00,5.898430e+00,6.959743e+00,4.964375e+00
