effector,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,dpi_to_10mm2
BM00063,0.06357973792226762,0.2890950342283091,0.13191450284412579,0.009549319334568863,-0.28898346258707774,-1.3727578294235472,-0.3509895594356452,-0.5090717804114154
BM00064,0.35089624138164466,0.4987882895563018,0.370750867387706,0.10346311078181189,0.2950060836958343,0.7580218906517754,0.2608501439990939,-0.4015480014464157
BM00065,0.770171263874382,0.8579191984755516,0.836189836864998,0.8806622530639427,-0.5462931568392211,-0.5682907478495848,-0.30104732756795854,-0.31102298090013375
BM00067,1.6113987748051053,1.4256023378178049,1.3942429894542605,2.2612536935648904,-0.02519192896858127,-0.6438866555749234,-0.3457652140400657,-0.8927533467506319
BM00071,0.5824733362105242,0.8241965832264785,0.5804428809412717,0.25008185634693325,0.8581415449953169,0.5045157875984407,-0.10029613892395979,-0.6718013926897962
BM00073,-1.6195976369785114,-1.631107088361773,-1.687919924534831,-1.8398531460787932,-1.2340971846201563,0.23501531058866607,-0.986032300166174,1.1407883643095018
BM00075,0.3103361483821754,0.21843635123724647,0.3078003464012139,0.45649125410134694,0.5226643428135628,-0.1535458382681976,0.3119972135595203,0.12255211936151174
BM00076,0.6577303017435132,0.6045521210006222,0.7798982429415905,0.5087131790541188,0.4063407624328624,-0.9845697875429221,0.13859275405536337,-0.37772498387203446
BM00077,1.874298061415868,1.8910004492809314,2.548272235458522,2.720595408235597,0.4985098524447954,-0.8911428241673327,-0.36478239741982954,-0.6436256110178946
BM00078,0.6079244764246793,0.3311998186318627,0.4419689019884283,1.8026104709221877,-0.719059634923993,0.5168512033459103,0.846078034329133,-0.11326567782451034
BM00079,2.260075879253302,2.1959543096989043,2.2874017743903945,1.5040674862499548,1.4549965930354511,2.7665446453139957,-0.2450291531866479,-1.3644573690566357
BM00080,1.0382437496636812,1.0990364878670462,1.0679374506366375,1.131069188726737,0.18870246361394366,-0.45615599738535895,-1.1306664957404557,-0.9191909221047262
BM00083,0.87041426917614,1.260638759557265,0.8151817503785946,0.37279048107501694,-0.4036376934922745,-1.1525323432685421,0.2348465901895602,-1.1927353990662866
BM00084,-2.6674257452785284,-2.3820632947244866,-2.645448648832855,-2.6915689379549974,-2.6337602184138946,-1.453602418894668,-3.55951509410765,0.3880152985719351
BM00085,1.0941985946417345,1.611047506132355,1.0570206079524893,0.8258320761959411,-0.507108101053069,-1.064861369486508,-0.7142827401793191,-1.7218584544895317
BM00086,-0.2646650638663296,-0.2738878263491329,-0.2466489597134855,-0.44809131010025777,-1.1858396502086077,-0.21646615959010568,-0.8188316762149962,-0.5174944323798766
BM00088,-2.918089111146722,-2.436074861829981,-2.8616962012022102,-2.5277765892851494,-3.9932981291550695,-1.7489953979076744,-2.7152483361379542,2.322738438289436
BM00090,1.067871008611248,1.2471599456651148,0.910670038953525,1.3838971254368384,0.29748351831156117,0.1186651679827067,0.30126519705518073,-0.7058183695734479
BM00091,-0.22811642447565825,-0.4705426964089772,-0.3904184886749652,0.26862967869249205,0.988548862496853,1.138578657079436,0.6306874836734673,-1.2915242233733986
BM00092,0.41601251726466104,0.3583560410467935,0.390049284647368,0.3939084095048218,-1.2959578832664693,-1.8179165683069312,-0.8141228250300375,-0.8725738359525651
BM00093,0.8443848035365455,0.6662378856787566,0.8338716284274732,1.2453229115832691,-0.2501766835965109,0.40224991224635165,0.3415707736695791,-0.4531214363373032
Col-0,1.162556853004608,1.033652326345963,0.923348285830785,0.7609124702307737,0.9469672771951415,0.7445550187903984,0.14317413851109778,-0.8987982100516261
EmptyVector,0.4005753228036948,0.1836408001230885,0.47997641992442897,0.9720254296531615,1.5010690363656203,0.6525380497205896,-0.3659146771282429,-0.16612515111224327
GFP,0.9826768161869237,0.9516517913591632,1.033743211467837,1.154436942339052,0.753488809390646,1.1681761453352344,0.8749623362191001,-0.11833159652397113
