GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g002440	849	1560	1696	1605	1295	1286	1177	1797
AGIS_Os01g002450	399	295	128	331	213	171	258	570
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	0	0	2	0	0	0	0
AGIS_Os01g002480	48	49	23	24	30	57	42	14
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	3974	1141	1400	2546	734	2151	2428	4992
AGIS_Os01g002540	3368	1417	1694	1095	486	1038	2049	3197
AGIS_Os01g002550	11207	6457	4500	8215	2342	1485	4124	6342
AGIS_Os01g002560	290	718	763	773	373	548	553	474
AGIS_Os01g002570	11	44	51	51	14	34	0	19
AGIS_Os01g002580	0	0	0	0	0	0	2	0
AGIS_Os01g002590	9089	7617	2974	6284	6081	5939	6934	6000
AGIS_Os01g002600	443	784	631	553	358	485	686	382
AGIS_Os01g002610	141	282	266	192	220	210	74	276
AGIS_Os01g002620	259	221	243	138	572	182	483	271
AGIS_Os01g002630	359	355	607	512	113	387	354	389
AGIS_Os01g002640	1833	2835	3721	2312	711	2333	1416	1774
AGIS_Os01g002650	236	325	153	325	211	241	166	367
AGIS_Os01g002660	2103	2941	2686	2598	2715	2405	2881	3247
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	60	131	220	133	61	119	26	95
AGIS_Os01g002720	484	1855	2398	1407	1139	1362	522	1034
AGIS_Os01g002730	0	10	0	1	0	0	0	1
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	269	157	141	142	79	127	173	151
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	399	141	255	63	141	253	350	270
AGIS_Os01g002790	11	8	4	30	8	17	24	16
AGIS_Os01g002800	3057	2070	2222	1749	4776	2104	3523	3815
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	517	613	378	369	333	309	357	382
AGIS_Os01g002830	411	567	213	595	342	317	738	774
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	62	50	53	59	133	83	126	38
AGIS_Os01g002870	0	0	0	0	0	0	0	1
AGIS_Os01g002880	0	0	6	0	1	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1489	1072	1076	835	1247	767	1454	980
