,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mockLP_1,CPM.pho2mockLP_2,CPM.pho2mockLP_3,CPM.pho2mockLP_4,CPM.pho2mockHP_1,CPM.pho2mockHP_2,CPM.pho2mockHP_3,CPM.pho2mockHP_4
25809,AGIS_Os05g028460, 1.053272e-01, 1.1516340146, 1.092359e-01,7.519868e-01,0.9999110,Not_significant,3.111928e+00,2.557564e+00,1.310376e+00,1.627789e+00,2.654488e+00,2.430936e+00,1.881366e+00,1.884779e+00
25819,AGIS_Os05g028560, 3.510172e-01, 2.7227824556, 6.458636e-01,4.517429e-01,0.9999110,Not_significant,1.057203e+01,3.996193e+00,3.257219e+00,5.827887e+00,5.700622e+00,4.167319e+00,9.999871e+00,8.976029e+00
25820,AGIS_Os05g028570,-1.670995e-01, 3.0391383188, 3.686704e-01,5.656130e-01,0.9999110,Not_significant,9.314469e+00,8.756103e+00,7.880973e+00,8.118849e+00,4.852057e+00,9.398171e+00,7.096023e+00,1.002106e+01
25821,AGIS_Os05g028580,-6.043512e-01,-1.0622965075, 3.012301e-01,6.025912e-01,0.9999110,Not_significant,6.394373e-01,4.084997e-01,2.246358e-01,5.225002e-01,5.439525e-01,6.945531e-01,0.000000e+00,4.851908e-01
25822,AGIS_Os05g028590,-5.288646e-01, 1.7070219331, 3.489549e+00,1.097925e-01,0.9999110,Not_significant,2.898782e+00,3.747541e+00,4.174482e+00,4.461348e+00,2.480424e+00,3.103784e+00,2.372157e+00,2.556582e+00
25823,AGIS_Os05g028600, 1.569816e-01, 3.8990858706, 7.605006e-01,4.159182e-01,0.9999110,Not_significant,1.566621e+01,1.269901e+01,1.299144e+01,1.467020e+01,1.721066e+01,1.193763e+01,1.566442e+01,1.819465e+01
25824,AGIS_Os05g028610,-3.720750e-01, 2.1797541260, 3.437974e-01,5.786643e-01,0.9999110,Not_significant,1.108358e+00,7.033300e+00,6.121326e+00,6.350387e+00,3.394264e+00,7.140874e+00,1.411025e+00,3.359013e+00
25825,AGIS_Os05g028620,-7.429550e-01, 0.3248217664, 7.163062e-01,4.292779e-01,0.9999110,Not_significant,4.262915e-01,1.349825e+00,2.152760e+00,1.989520e+00,1.087905e+00,1.910021e+00,4.089927e-01,3.732237e-01
25826,AGIS_Os05g028630, 1.526672e-01, 2.6538474897, 2.632256e-01,6.259432e-01,0.9999110,Not_significant,3.836624e+00,7.974625e+00,4.923268e+00,6.933176e+00,7.506545e+00,7.097464e+00,3.803632e+00,7.949664e+00
25827,AGIS_Os05g028640, 3.692019e-01, 3.5695606062, 1.709559e+00,2.381203e-01,0.9999110,Not_significant,9.527615e+00,1.033682e+01,1.111947e+01,9.183946e+00,2.097481e+01,1.291435e+01,8.629745e+00,1.198048e+01
25828,AGIS_Os05g028650,-6.022338e-02, 3.8850994004, 1.221225e-01,7.384008e-01,0.9999110,Not_significant,1.515466e+01,1.516777e+01,1.478852e+01,1.499174e+01,1.586166e+01,1.488948e+01,1.331271e+01,1.371597e+01
25831,AGIS_Os05g028680,-9.116408e-01, 0.2717949883, 1.569873e+00,2.560767e-01,0.9999110,Not_significant,1.108358e+00,7.992386e-01,1.478852e+00,2.130193e+00,1.740648e-01,1.736383e+00,4.907912e-01,1.418250e+00
25833,AGIS_Os05g028700,-4.307700e-01, 6.9769264705, 1.332768e+00,2.914924e-01,0.9999110,Not_significant,2.160232e+02,1.105791e+02,1.119997e+02,1.381611e+02,7.064855e+01,9.617390e+01,1.664396e+02,9.741137e+01
25834,AGIS_Os05g028710,-2.931162e-01, 4.2982453077, 8.700702e-01,3.863393e-01,0.9999110,Not_significant,1.967335e+01,2.085125e+01,1.812062e+01,2.532116e+01,1.100960e+01,1.988158e+01,2.887488e+01,1.334275e+01
25836,AGIS_Os05g028730,-4.857412e-01, 8.5110486034, 4.601662e+00,7.450229e-02,0.9999110,Not_significant,7.929661e+02,3.235318e+02,3.018918e+02,3.057229e+02,4.853797e+02,1.895913e+02,2.802622e+02,2.389191e+02
25843,AGIS_Os05g028800, 1.132227e+00,-0.4239148125, 2.379158e+00,1.730603e-01,0.9999110,Not_significant,5.968081e-01,3.729780e-01,3.369537e-01,3.617309e-01,3.263715e-01,8.681914e-01,1.513273e+00,1.268960e+00
25844,AGIS_Os05g028810, 1.605836e-01, 5.6242533106, 2.118989e-01,6.612233e-01,0.9999110,Not_significant,6.995444e+01,4.397588e+01,3.066279e+01,4.298569e+01,3.916458e+01,4.382196e+01,7.251440e+01,5.120629e+01
25845,AGIS_Os05g028820,-1.821129e-01, 1.5852206193, 1.204117e-01,7.402373e-01,0.9999110,Not_significant,4.476061e+00,1.580716e+00,2.414835e+00,4.119713e+00,1.240212e+00,2.300707e+00,4.458020e+00,3.097756e+00
25846,AGIS_Os05g028830, 1.940776e-01, 3.0524387545, 8.009103e-01,4.044871e-01,0.9999110,Not_significant,9.548930e+00,6.109735e+00,7.375543e+00,7.737022e+00,1.011752e+01,7.488150e+00,1.053156e+01,7.147233e+00
25847,AGIS_Os05g028840, 1.046034e-03, 4.0470708040, 2.429974e-05,9.962233e-01,0.9999110,Not_significant,2.133589e+01,1.337393e+01,1.491956e+01,1.663962e+01,1.634033e+01,1.645223e+01,1.885456e+01,1.401455e+01
25848,AGIS_Os05g028850, 2.051703e-01, 3.5077472085, 1.204349e+00,3.135573e-01,0.9999110,Not_significant,1.018837e+01,1.133143e+01,9.621901e+00,1.097250e+01,1.187992e+01,1.321821e+01,1.249473e+01,1.097278e+01
25849,AGIS_Os05g028860,-1.977203e-01, 5.9745026533, 6.764325e-01,4.417488e-01,0.9999110,Not_significant,7.973783e+01,6.257150e+01,6.316010e+01,6.165503e+01,4.281994e+01,5.510845e+01,7.247350e+01,6.518351e+01
25851,AGIS_Os05g028880,-5.487654e-01, 1.0374079608, 2.926348e+00,1.367896e-01,0.9999110,Not_significant,1.406762e+00,2.379955e+00,2.339956e+00,3.376155e+00,8.920821e-01,2.105364e+00,1.390575e+00,2.202020e+00
25852,AGIS_Os05g028890, 5.423091e-02,-0.9514763464, 5.930827e-03,9.410589e-01,0.9999110,Not_significant,1.705166e-01,7.104343e-01,5.241502e-01,5.225002e-01,4.134039e-01,4.775052e-01,6.952875e-01,2.985789e-01
25853,AGIS_Os05g028900,-5.881511e-02, 4.6711748873, 5.838210e-02,8.169830e-01,0.9999110,Not_significant,3.293102e+01,2.541579e+01,2.807948e+01,1.788558e+01,2.700180e+01,2.005522e+01,2.255595e+01,2.957797e+01
25854,AGIS_Os05g028910,-2.221175e-02, 3.7119546292, 5.441436e-03,9.435541e-01,0.9999110,Not_significant,2.014227e+01,1.033682e+01,1.246729e+01,9.766735e+00,1.224981e+01,8.052475e+00,1.363991e+01,1.785875e+01
25858,AGIS_Os05g028950, 3.921009e-02, 6.5200538370, 2.819271e-02,8.720809e-01,0.9999110,Not_significant,1.208750e+02,7.544813e+01,7.450421e+01,9.334667e+01,8.409506e+01,7.950462e+01,1.104280e+02,9.569455e+01
