,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
13637,AGIS_Os03g016390, 3.898710e-02, 5.293218e+00, 6.714105e-02,8.007286e-01,0.9032077174,Not_significant,4.119024e+01,3.600225e+01,4.031751e+01,3.541065e+01,4.539013e+01,5.144770e+01,3.331599e+01,3.033327e+01
13638,AGIS_Os03g016400,-1.863239e-01, 3.225804e+00, 1.273252e+00,2.851391e-01,0.5354179099,Not_significant,1.125253e+01,8.249812e+00,1.033936e+01,9.933748e+00,9.097127e+00,9.111292e+00,8.168009e+00,8.403135e+00
13639,AGIS_Os03g016410, 7.386311e-01, 3.039178e+00, 8.552517e+00,1.535691e-02,0.1056977676,Not_significant,6.305098e+00,6.360284e+00,4.679711e+00,6.649696e+00,7.616754e+00,1.130678e+01,1.489560e+01,7.614848e+00
13640,AGIS_Os03g016420,-1.127183e-01, 3.968939e+00, 2.925078e-01,6.010802e-01,0.7840319960,Not_significant,1.808689e+01,1.582479e+01,1.253923e+01,1.813368e+01,1.186686e+01,1.796644e+01,1.848817e+01,1.206078e+01
13642,AGIS_Os03g016440,-1.091417e-01,-8.292365e-01, 1.749713e-02,8.973526e-01,0.9527530278,Not_significant,5.752827e-01,4.048987e-01,3.999753e-01,6.323330e-01,3.342776e-01,9.147884e-01,7.795195e-01,1.576573e-01
13644,AGIS_Os03g016460,-5.394160e-02, 3.244516e+00, 1.109140e-01,7.458874e-01,0.8727563595,Not_significant,9.411625e+00,8.975255e+00,9.899390e+00,1.013773e+01,9.049373e+00,1.009926e+01,9.811778e+00,8.135117e+00
13645,AGIS_Os03g016470, 1.972425e-01, 5.767596e+00, 2.774660e+00,1.263053e-01,0.3447638420,Not_significant,5.209760e+01,4.266620e+01,5.503661e+01,5.358512e+01,5.630190e+01,5.741212e+01,6.000606e+01,5.841203e+01
13646,AGIS_Os03g016480, 4.213270e-02, 3.100486e+00, 6.864282e-02,7.985670e-01,0.9015568827,Not_significant,7.593732e+00,9.430766e+00,8.119499e+00,8.465103e+00,7.712262e+00,1.026393e+01,8.439146e+00,8.277009e+00
13647,AGIS_Os03g016490, 1.024834e-02, 3.922206e+00, 5.878610e-03,9.403757e-01,0.9739248479,Not_significant,1.311645e+01,1.364846e+01,1.725894e+01,1.621628e+01,1.217726e+01,1.538674e+01,1.633602e+01,1.682203e+01
13648,AGIS_Os03g016500,-2.733031e-02, 3.697005e+00, 3.921092e-02,8.469437e-01,0.9274951607,Not_significant,1.242611e+01,1.366533e+01,1.439911e+01,1.176955e+01,1.201012e+01,1.370353e+01,1.301459e+01,1.245493e+01
