GeneID	pho2mycLP_1	pho2mycLP_2	pho2mycLP_3	pho2mycLP_4	pho2mycHP_1	pho2mycHP_2	pho2mycHP_3	pho2mycHP_4
AGIS_Os01g001690	25	54	5	24	22	0	16	28
AGIS_Os01g001700	0	5	1	2	0	0	0	0
AGIS_Os01g001710	38	89	41	26	19	27	59	29
AGIS_Os01g001720	0	9	14	0	4	2	14	8
AGIS_Os01g001730	34	73	61	60	8	10	4	27
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	2	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	24	74	36	8	88	46	80	119
AGIS_Os01g001790	0	10	14	7	4	18	0	14
AGIS_Os01g001800	4	9	0	23	0	0	10	0
AGIS_Os01g001810	12	6	0	0	0	5	0	4
AGIS_Os01g001820	7	17	0	10	0	22	0	4
AGIS_Os01g001830	13670	11348	13572	11723	6632	9950	10652	11106
AGIS_Os01g001840	790	1086	862	699	663	825	857	1028
AGIS_Os01g001850	146	404	164	193	76	259	231	138
AGIS_Os01g001860	1787	3409	2398	3313	3402	4567	5838	3699
AGIS_Os01g001870	62	159	119	125	160	208	517	286
AGIS_Os01g001880	1108	1545	1420	1553	2404	2318	2604	2439
AGIS_Os01g001890	163	260	302	394	328	353	669	464
AGIS_Os01g001900	876	1290	844	1300	1773	2001	2182	1698
AGIS_Os01g001910	0	14	0	3	0	4	2	0
AGIS_Os01g001920	542	738	590	528	597	555	704	546
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	48	34	36	13	5	18	14	11
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	164	222	149	161	60	80	99	137
AGIS_Os01g001980	718	988	738	912	502	1083	1112	1134
AGIS_Os01g001990	37	55	104	86	100	91	28	60
AGIS_Os01g002000	276	221	262	181	270	274	412	301
AGIS_Os01g002010	1078	1387	1227	1030	996	1526	1266	1521
AGIS_Os01g002020	4349	5019	5149	4878	3628	5268	5596	6509
AGIS_Os01g002030	42	106	66	149	80	156	178	82
AGIS_Os01g002040	1007	1145	1119	892	785	1154	1125	1254
AGIS_Os01g002050	460	590	461	384	443	557	528	641
AGIS_Os01g002060	1364	1415	1139	1105	1101	1091	1074	1711
AGIS_Os01g002070	226	803	421	385	356	1000	666	470
AGIS_Os01g002080	507	2051	862	906	566	1792	1591	1391
AGIS_Os01g002090	525	570	458	510	552	486	600	649
AGIS_Os01g002100	0	0	0	0	0	0	0	0
AGIS_Os01g002110	6	5	16	6	0	0	0	3
AGIS_Os01g002120	0	0	0	0	0	0	16	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	1	0	6	4	0	3
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	0	0	0	0	0
AGIS_Os01g002260	0	0	0	16	8	0	0	4
AGIS_Os01g002270	140	79	30	65	907	166	239	722
AGIS_Os01g002280	2697	2962	3508	2599	6040	4725	7611	5723
AGIS_Os01g002290	1270	1101	2536	2414	1558	3147	5672	2361
AGIS_Os01g002300	0	4	0	0	162	16	0	226
AGIS_Os01g002310	9	0	0	0	1	0	4	16
AGIS_Os01g002320	211	200	326	217	863	410	341	634
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	12	2	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
