GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g001490	22	12	28	20	6	0	24	12
AGIS_Os01g001500	0	6	9	4	4	8	18	0
AGIS_Os01g001510	0	0	0	0	0	0	4	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	16	6	0	4	0	0	0	0
AGIS_Os01g001540	0	0	0	0	0	0	0	0
AGIS_Os01g001550	18	1	0	6	1	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	78	222	203	270	145	129	99	193
AGIS_Os01g001580	81	103	180	165	66	78	67	89
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	16	16	15	19
AGIS_Os01g001640	10	2	20	32	14	14	14	1
AGIS_Os01g001650	44	1	25	4	20	12	14	15
AGIS_Os01g001660	0	0	0	0	0	1	0	0
AGIS_Os01g001670	0	0	0	0	0	0	0	0
AGIS_Os01g001680	699	701	1048	956	736	756	938	1461
AGIS_Os01g001690	6	8	2	8	22	0	16	28
AGIS_Os01g001700	0	0	0	0	0	0	0	0
AGIS_Os01g001710	0	8	2	18	19	27	59	29
AGIS_Os01g001720	0	10	0	0	4	2	14	8
AGIS_Os01g001730	12	2	40	30	8	10	4	27
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	2	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	88	56	46	70	88	46	80	119
AGIS_Os01g001790	0	0	1	1	4	18	0	14
AGIS_Os01g001800	0	2	0	0	0	0	10	0
AGIS_Os01g001810	6	16	18	18	0	5	0	4
AGIS_Os01g001820	0	6	8	2	0	22	0	4
AGIS_Os01g001830	10090	4692	4662	5523	6632	9950	10652	11106
AGIS_Os01g001840	238	601	971	744	663	825	857	1028
AGIS_Os01g001850	144	191	151	180	76	259	231	138
AGIS_Os01g001860	7181	3577	2299	3965	3402	4567	5838	3699
AGIS_Os01g001870	405	285	274	323	160	208	517	286
AGIS_Os01g001880	4373	2582	1855	2995	2404	2318	2604	2439
AGIS_Os01g001890	1088	512	438	534	328	353	669	464
AGIS_Os01g001900	2852	1705	1183	1438	1773	2001	2182	1698
AGIS_Os01g001910	26	16	15	10	0	4	2	0
AGIS_Os01g001920	1380	470	613	910	597	555	704	546
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	2	4	3	0	5	18	14	11
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	14	54	155	75	60	80	99	137
AGIS_Os01g001980	616	628	455	460	502	1083	1112	1134
AGIS_Os01g001990	166	73	94	96	100	91	28	60
AGIS_Os01g002000	419	280	228	473	270	274	412	301
AGIS_Os01g002010	1094	1825	1291	2272	996	1526	1266	1521
AGIS_Os01g002020	2756	4149	5315	5552	3628	5268	5596	6509
AGIS_Os01g002030	204	66	41	77	80	156	178	82
AGIS_Os01g002040	1994	1256	969	1239	785	1154	1125	1254
AGIS_Os01g002050	1041	729	477	650	443	557	528	641
AGIS_Os01g002060	1417	1167	1472	1419	1101	1091	1074	1711
AGIS_Os01g002070	190	135	98	132	356	1000	666	470
AGIS_Os01g002080	822	462	454	510	566	1792	1591	1391
AGIS_Os01g002090	1035	620	382	906	552	486	600	649
AGIS_Os01g002100	0	1	4	0	0	0	0	0
AGIS_Os01g002110	16	28	2	0	0	0	0	3
AGIS_Os01g002120	0	0	4	0	0	0	16	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	6	4	0	3
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	10	0	0	0	0	0
AGIS_Os01g002250	0	0	0	0	0	0	0	0
AGIS_Os01g002260	0	0	0	16	8	0	0	4
AGIS_Os01g002270	309	253	476	202	907	166	239	722
AGIS_Os01g002280	6824	3120	6543	4128	6040	4725	7611	5723
