,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmycWT_1,CPM.HPmycWT_2,CPM.HPmycWT_3,CPM.HPmycWT_4,CPM.HPmycpho2_1,CPM.HPmycpho2_2,CPM.HPmycpho2_3,CPM.HPmycpho2_4
31522,AGIS_Os06g039600,-4.122881e-01, 5.2346358154,4.505612e+00,6.778425e-02,0.2670987479,Not_significant,5.127941e+01,4.287359e+01,3.577685e+01,4.143847e+01,3.579442e+01,3.165869e+01,3.668405e+01,2.503770e+01
31523,AGIS_Os06g039610, 1.792443e-01, 5.4935254464,4.790407e-01,5.092132e-01,0.7326525766,Not_significant,1.968130e+01,5.817602e+01,5.244339e+01,4.439572e+01,4.161509e+01,5.280620e+01,4.037968e+01,5.029470e+01
31528,AGIS_Os06g039660, 6.401018e-01, 6.1469641048,7.761975e+00,2.463895e-02,0.1473724338,Not_significant,3.288094e+01,4.822721e+01,9.076176e+01,5.818389e+01,7.322080e+01,8.529911e+01,8.391038e+01,9.379084e+01
31529,AGIS_Os06g039670,-8.130790e-01,-0.1618421001,7.274560e-01,4.230196e-01,0.6698170703,Not_significant,0.000000e+00,1.873768e+00,1.173011e+00,1.145934e+00,0.000000e+00,8.342211e-01,8.558314e-01,6.213735e-01
31530,AGIS_Os06g039680, 1.294398e+00, 4.3452158558,3.662141e+01,3.498059e-04,0.0092035006,UP,1.573154e+01,7.495070e+00,1.085036e+01,1.223562e+01,4.368225e+01,2.022986e+01,2.038435e+01,3.139764e+01
31531,AGIS_Os06g039690, 5.781986e-01, 4.6618389500,1.519619e+00,2.540338e-01,0.5316832984,Not_significant,7.798252e+00,2.168217e+01,4.217954e+01,1.574736e+01,2.883137e+01,1.910366e+01,2.372987e+01,4.283822e+01
31532,AGIS_Os06g039700,-3.599059e-01, 2.4649656128,1.098931e+00,3.261666e-01,0.5968491712,Not_significant,8.034562e+00,6.379732e+00,5.962808e+00,4.214081e+00,4.841494e+00,3.545440e+00,5.329496e+00,5.190296e+00
31533,AGIS_Os06g039710,-1.704530e-01, 4.1705627967,1.868332e-01,6.774305e-01,0.8387580665,Not_significant,3.058535e+01,1.204565e+01,1.207224e+01,2.336227e+01,1.234853e+01,1.831115e+01,2.100677e+01,1.359711e+01
31536,AGIS_Os06g039740, 2.807954e-01, 6.8344956251,2.716835e+00,1.392239e-01,0.3963071491,Not_significant,7.791500e+01,9.337608e+01,1.242903e+02,1.200643e+02,1.143463e+02,1.273021e+02,1.243290e+02,1.307443e+02
31537,AGIS_Os06g039750,-6.223393e-02, 7.8465146867,1.764452e-01,6.858774e-01,0.8439426744,Not_significant,2.137599e+02,2.713840e+02,2.235564e+02,2.315896e+02,2.082387e+02,2.599850e+02,2.170700e+02,2.150683e+02
31538,AGIS_Os06g039760,-7.052012e-01, 6.4415027794,2.062597e+01,2.068534e-03,0.0296900795,Not_significant,1.234554e+02,1.089016e+02,8.186642e+01,1.174398e+02,7.387359e+01,6.769704e+01,5.570685e+01,6.568283e+01
31539,AGIS_Os06g039770, 4.273690e-01, 3.6734151580,3.050253e+00,1.201764e-01,0.3679414846,Not_significant,7.460665e+00,1.369635e+01,1.124136e+01,1.134845e+01,1.387170e+01,1.564165e+01,1.501595e+01,1.315850e+01
31543,AGIS_Os06g039810,-3.424153e-01, 2.6939488163,1.217146e+00,3.030778e-01,0.5780935815,Not_significant,7.663217e+00,5.442849e+00,7.966703e+00,7.430091e+00,4.406304e+00,6.131525e+00,7.002257e+00,5.044090e+00
31546,AGIS_Os06g039840, 8.731392e-01, 6.1699732243,3.187050e+01,5.473943e-04,0.0122882305,Not_significant,4.857872e+01,5.251011e+01,6.060559e+01,4.184509e+01,8.867007e+01,9.126379e+01,1.103634e+02,8.154613e+01
31547,AGIS_Os06g039850, 1.003644e+00, 0.5721747123,2.599538e+00,1.468750e-01,0.4071725840,Not_significant,8.102080e-01,7.584297e-01,1.368513e+00,8.502094e-01,2.067155e+00,1.418176e+00,1.983973e+00,2.010326e+00
31548,AGIS_Os06g039860,-1.399245e+00, 3.3113144189,2.337698e+01,1.433554e-03,0.0234841956,DOWN,2.113292e+01,1.284869e+01,8.455457e+00,1.508197e+01,5.929471e+00,3.795706e+00,4.745974e+00,6.688903e+00
31549,AGIS_Os06g039870,-1.504813e+00, 3.0633738207,2.114227e+01,1.951186e-03,0.0287217768,DOWN,2.268582e+01,8.253500e+00,6.842567e+00,1.182900e+01,6.310262e+00,3.003196e+00,4.318059e+00,2.887559e+00
31550,AGIS_Os06g039880, 2.967375e-02,-0.6292301637,4.178003e-04,9.842127e-01,0.9930960858,Not_significant,0.000000e+00,1.204565e+00,5.376302e-01,6.653812e-01,9.791787e-01,5.005327e-01,2.334086e-01,4.751679e-01
31551,AGIS_Os06g039890,-1.452005e+00, 1.5550347072,6.516725e+00,3.512544e-02,0.1809871894,Not_significant,5.468904e+00,3.702922e+00,3.176906e+00,3.992287e+00,5.439881e-01,2.002131e+00,1.322649e+00,2.558597e+00
31552,AGIS_Os06g039900,-6.311816e-01, 4.7722576678,7.569530e+00,2.596934e-02,0.1518820796,Not_significant,4.378499e+01,3.087255e+01,2.204284e+01,3.707652e+01,1.876759e+01,2.406728e+01,1.917840e+01,2.211359e+01
31554,AGIS_Os06g039920, 2.587232e+00, 5.6550930481,4.163146e+01,2.347225e-04,0.0072002612,UP,1.870230e+01,7.628911e+00,2.668601e+01,8.391197e+00,1.466048e+02,7.211842e+01,5.208901e+01,7.039796e+01
31555,AGIS_Os06g039930, 3.596797e-01,-0.2612529072,1.233640e-01,7.348011e-01,0.8708400891,Not_significant,1.822968e+00,3.569081e-01,2.932529e-01,3.326906e-01,7.615834e-01,2.502663e-01,6.224229e-01,1.498607e+00
31556,AGIS_Os06g039940,-3.704661e-02, 4.4503918143,2.739970e-02,8.727799e-01,0.9404416978,Not_significant,1.475254e+01,2.516202e+01,2.815227e+01,2.121827e+01,2.072595e+01,2.390043e+01,2.135688e+01,1.900672e+01
31557,AGIS_Os06g039950, 5.545093e-01, 2.4269195103,1.136441e+00,3.187304e-01,0.5910954828,Not_significant,1.958003e+00,4.952100e+00,8.162204e+00,3.179044e+00,7.398239e+00,4.713349e+00,4.473664e+00,7.602687e+00
31558,AGIS_Os06g039960,-1.319662e-01, 5.1430716082,4.194746e-01,5.360225e-01,0.7499112371,Not_significant,4.614810e+01,3.172021e+01,3.162243e+01,3.796370e+01,3.818797e+01,3.378596e+01,3.722867e+01,2.536666e+01
31559,AGIS_Os06g039970, 5.576803e-01, 2.4769082575,2.340855e+00,1.659805e-01,0.4326391393,Not_significant,4.658696e+00,8.119660e+00,2.688151e+00,3.179044e+00,7.071846e+00,6.340080e+00,4.823777e+00,7.017865e+00
31560,AGIS_Os06g039980, 1.459283e+00, 5.7652494142,3.590034e+01,3.809966e-04,0.0098140174,UP,2.120044e+01,3.185405e+01,3.699873e+01,2.631952e+01,9.867945e+01,8.563280e+01,6.644364e+01,6.740075e+01
31562,AGIS_Os06g040000, 1.375236e-01, 5.5959170094,5.263884e-01,4.895332e-01,0.7187997734,Not_significant,5.222466e+01,5.340238e+01,3.401733e+01,4.517199e+01,4.281187e+01,5.793666e+01,4.812107e+01,5.256088e+01
31564,AGIS_Os06g040020, 2.092517e+00, 1.3866656387,1.139466e+01,1.028684e-02,0.0845110586,Not_significant,6.751733e-01,8.030432e-01,3.910038e-01,2.439731e+00,4.732697e+00,1.918709e+00,4.707073e+00,4.605474e+00
31567,AGIS_Os06g040050, 7.602259e-02, 7.0245491169,2.248690e-01,6.484594e-01,0.8211333907,Not_significant,1.599823e+02,1.035926e+02,1.191095e+02,1.269030e+02,1.390978e+02,1.221300e+02,1.290360e+02,1.410518e+02
31568,AGIS_Os06g040060, 2.069258e-01, 3.6021183747,6.777773e-01,4.350131e-01,0.6785665908,Not_significant,1.046519e+01,1.003804e+01,1.344076e+01,1.090486e+01,1.354530e+01,1.439031e+01,1.097020e+01,1.275643e+01
31569,AGIS_Os06g040070, 1.723212e+00, 0.8424977712,8.460831e+00,2.036302e-02,0.1297123796,Not_significant,7.426906e-01,5.353622e-01,5.865057e-01,1.441659e+00,2.339149e+00,3.170040e+00,1.945071e+00,2.924110e+00
31570,AGIS_Os06g040080, 7.472632e-01, 5.4045597229,8.541444e+00,2.006019e-02,0.1283948538,Not_significant,5.148197e+01,2.480511e+01,3.299095e+01,2.114434e+01,5.374603e+01,4.642440e+01,4.718743e+01,6.041943e+01
31571,AGIS_Os06g040090,-5.852152e-01, 5.8563155999,1.061170e+01,1.212445e-02,0.0938275999,Not_significant,9.584085e+01,6.906172e+01,5.346977e+01,6.132597e+01,4.825175e+01,5.301475e+01,4.010737e+01,4.170512e+01
31572,AGIS_Os06g040100,-8.005938e-01, 0.0625950978,3.535613e-01,5.691821e-01,0.7720334978,Not_significant,2.261831e+00,2.230676e-01,7.331321e-01,8.132437e-01,4.351905e-01,2.460952e+00,7.780286e-02,6.213735e-01
31573,AGIS_Os06g040110,-9.654444e-01, 3.6570951441,1.516023e+01,4.901340e-03,0.0522788358,Not_significant,1.775706e+01,1.583780e+01,1.568903e+01,1.656060e+01,1.082536e+01,7.090879e+00,9.919864e+00,6.579248e+00
31574,AGIS_Os06g040120,-1.032694e-02, 5.5373525443,3.448552e-03,9.546612e-01,0.9792142220,Not_significant,3.581794e+01,4.996714e+01,4.916873e+01,5.197367e+01,4.498782e+01,4.450570e+01,4.442543e+01,5.003884e+01
31575,AGIS_Os06g040130, 4.744831e+00, 4.5802117601,4.267704e+02,4.827030e-08,0.0001488596,UP,1.991761e+00,1.650700e+00,1.759517e+00,1.367728e+00,6.060028e+01,4.838482e+01,4.026298e+01,3.479691e+01
31576,AGIS_Os06g040140, 2.580053e-01, 4.4438981616,4.699375e-01,5.131482e-01,0.7352110237,Not_significant,8.102080e+00,1.762234e+01,3.289320e+01,2.469304e+01,2.371788e+01,2.056355e+01,1.758345e+01,2.832732e+01
