,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
2823,AGIS_Os01g028230,-5.718303e-01, 0.4146220624,3.948551e-01,5.490334e-01,7.278071e-01,Not_significant,5.600121e-01,1.220675e+00,1.087794e+00,2.283368e+00,0.000000e+00,1.142916e+00,1.371663e+00,2.271211e+00
2824,AGIS_Os01g028240, 4.279754e-01, 0.7464633475,2.414832e-01,6.376630e-01,7.908354e-01,Not_significant,8.866858e-01,1.411405e+00,1.772701e+00,5.708421e-01,9.806011e-01,4.876442e+00,3.200548e-01,1.807698e+00
2827,AGIS_Os01g028270, 5.262140e-01, 3.9352985994,3.046963e+00,1.229172e-01,3.118769e-01,Not_significant,6.113465e+00,1.594506e+01,1.494709e+01,1.440279e+01,1.868303e+01,1.584844e+01,1.892896e+01,1.682550e+01
2828,AGIS_Os01g028280, 3.086409e-01, 5.4054141445,2.329734e+00,1.692917e-01,3.739522e-01,Not_significant,2.674058e+01,4.062557e+01,4.153760e+01,4.316444e+01,5.264280e+01,4.270696e+01,4.224723e+01,4.871516e+01
2829,AGIS_Os01g028290,-2.103723e-01, 3.6757515858,2.215986e-01,6.516585e-01,8.000292e-01,Not_significant,4.013420e+00,1.689871e+01,2.622792e+01,1.097773e+01,1.233493e+01,1.131487e+01,1.239069e+01,7.323496e+00
2833,AGIS_Os01g028330, 3.449784e-01, 5.7223270660,6.086899e+00,4.167880e-02,1.642489e-01,Not_significant,3.490742e+01,6.603086e+01,5.023995e+01,3.552394e+01,4.588181e+01,8.107084e+01,5.975880e+01,4.820529e+01
2835,AGIS_Os01g028350, 1.704412e+00,-0.3796901763,1.695991e+00,2.326535e-01,4.504337e-01,Not_significant,0.000000e+00,1.258821e+00,8.057731e-02,3.951984e-01,1.445096e+00,1.295305e+00,5.943875e-01,3.708099e-01
2838,AGIS_Os01g028380,-2.433439e+00,-0.8435831635,4.920565e+00,6.065925e-02,2.070964e-01,Not_significant,1.586701e+00,5.340451e-01,2.417319e-01,7.464858e-01,4.644953e-01,0.000000e+00,9.144423e-02,1.390537e-01
2839,AGIS_Os01g028390,-3.009638e+00,-0.5457932688,6.334955e+00,3.887096e-02,1.575688e-01,Not_significant,1.073357e+00,1.182528e+00,8.863504e-01,9.221295e-01,0.000000e+00,3.809720e-02,4.114990e-01,2.317562e-01
2850,AGIS_Os01g028500, 1.742599e+00, 3.0348460022,3.083833e+01,7.592515e-04,1.304967e-02,UP,4.853438e+00,3.890900e+00,2.779917e+00,3.425053e+00,8.928631e+00,1.287685e+01,1.243641e+01,1.571307e+01
2851,AGIS_Os01g028510, 8.981875e-02, 3.2355921278,9.823581e-02,7.627818e-01,8.705304e-01,Not_significant,4.993441e+00,8.125115e+00,1.204631e+01,1.198768e+01,9.186684e+00,9.029036e+00,1.024175e+01,9.038492e+00
2853,AGIS_Os01g028530,-1.233478e-01, 0.6726151801,4.917022e-02,8.305961e-01,9.105902e-01,Not_significant,2.520054e+00,1.335113e+00,9.266391e-01,1.668615e+00,1.393486e+00,1.066722e+00,1.508830e+00,1.668645e+00
2859,AGIS_Os01g028590, 2.786808e-01, 4.0056043402,1.488053e+00,2.606345e-01,4.790425e-01,Not_significant,2.086045e+01,1.251191e+01,1.248948e+01,1.255853e+01,1.703149e+01,1.870573e+01,1.924901e+01,1.441524e+01
2860,AGIS_Os01g028600, 4.976378e-01, 3.6215732154,1.855053e+00,2.139982e-01,4.297383e-01,Not_significant,4.293426e+00,1.586877e+01,1.095851e+01,1.084600e+01,1.584445e+01,1.657228e+01,9.601644e+00,1.376632e+01
