GeneID	pho2LPmock_1	pho2LPmock_2	pho2LPmock_3	pho2LPmock_4	pho2LPmyc_1	pho2LPmyc_2	pho2LPmyc_3	pho2LPmyc_4
AGIS_Os01g003090	18	23	32	33	17	3	1	9
AGIS_Os01g003100	8	8	1	12	0	0	0	6
AGIS_Os01g003110	149	92	58	126	46	76	17	106
AGIS_Os01g003120	30	73	53	105	89	140	161	66
AGIS_Os01g003130	1797	1449	1255	1445	1748	2097	2078	2103
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1436	1733	1185	1250	974	2084	1088	1481
AGIS_Os01g003160	59	48	38	70	10	30	22	10
AGIS_Os01g003170	1745	1489	1606	1835	1209	1591	1466	1506
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	0	0	0
AGIS_Os01g003210	14	24	37	47	21	91	73	136
AGIS_Os01g003220	888	450	466	589	264	1479	517	549
AGIS_Os01g003230	0	0	0	0	0	13	0	2
AGIS_Os01g003240	1675	983	1029	896	423	478	377	429
AGIS_Os01g003250	9	0	0	1	23	80	30	67
AGIS_Os01g003260	89	13	12	36	12	14	28	2
AGIS_Os01g003270	2	9	3	0	6	6	0	0
AGIS_Os01g003280	144	156	127	127	394	584	445	410
AGIS_Os01g003290	1058	1197	1374	918	808	1217	957	949
AGIS_Os01g003300	834	490	421	545	365	668	589	557
AGIS_Os01g003310	0	0	8	6	6	10	2	19
AGIS_Os01g003320	429	531	389	392	389	621	582	445
AGIS_Os01g003330	0	47	27	38	18	66	67	24
AGIS_Os01g003340	0	4	0	0	0	0	0	0
AGIS_Os01g003350	24	44	22	4	6	16	48	10
AGIS_Os01g003360	2	39	52	23	37	119	52	34
AGIS_Os01g003370	89	58	19	60	47	40	30	36
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	3	9	16	4	67	43	36	22
AGIS_Os01g003400	0	2	0	0	0	2	8	0
AGIS_Os01g003410	0	0	0	0	0	2	0	1
AGIS_Os01g003420	5	5	8	14	0	12	14	4
AGIS_Os01g003430	0	0	0	0	0	0	30	2
AGIS_Os01g003440	40	47	62	41	65	234	136	162
AGIS_Os01g003450	1426	1160	1222	894	590	641	670	496
AGIS_Os01g003460	46	84	36	134	36	91	34	54
AGIS_Os01g003470	24	23	17	55	30	66	32	43
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	1305	1027	1185	421	960	800	715	775
AGIS_Os01g003500	5996	6514	8001	6655	5226	4351	6512	4075
AGIS_Os01g003510	85	59	75	49	20	87	58	94
AGIS_Os01g003520	7045	5940	6246	6609	4979	5582	5525	5968
AGIS_Os01g003530	37	55	63	49	41	77	26	4
AGIS_Os01g003540	232	175	70	91	153	106	115	82
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	106	77	48	36	74	58	23	29
AGIS_Os01g003570	0	0	0	0	0	0	0	0
AGIS_Os01g003580	577	484	349	672	251	404	300	402
AGIS_Os01g003590	283	367	305	347	103	164	179	207
AGIS_Os01g003600	4584	4286	2645	2899	2434	3163	2890	3415
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	0	32	19	0	0	0	0	0
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	164	159	340	54	70	61	18	48
AGIS_Os01g003700	2537	2745	2845	3024	2859	3720	2929	2991
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	4	18	6	7	20	29	32	56
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	56	167	145	95	88	237	85	104
AGIS_Os01g003750	80	116	155	109	373	368	266	253
AGIS_Os01g003760	434	639	702	647	411	565	526	553
AGIS_Os01g003770	128	263	331	262	174	230	214	140
AGIS_Os01g003780	200	202	107	127	212	234	233	156
AGIS_Os01g003790	16921	16861	17531	13303	11050	12216	10870	9375
AGIS_Os01g003800	2305	1393	1590	1264	710	1020	965	844
AGIS_Os01g003810	2209	1134	1323	1367	2305	3325	2423	3235
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	167	254	274	252	72	223	224	155
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	772	825	571	663	585	665	796	623
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	1	2	0	1	0	6	0	8
AGIS_Os01g003920	544	473	421	375	311	503	382	434
AGIS_Os01g003930	4976	2838	2592	2177	2028	1651	2116	1953
AGIS_Os01g003940	970	1124	946	1064	472	699	601	562
AGIS_Os01g003950	14	221	231	149	101	453	104	117
AGIS_Os01g003960	265	351	395	326	162	429	215	268
AGIS_Os01g003970	96	152	116	124	56	105	89	64
AGIS_Os01g003980	53	102	71	74	83	56	107	74
AGIS_Os01g003990	9	15	16	0	34	0	0	0
AGIS_Os01g004000	98	256	266	153	161	237	191	111
AGIS_Os01g004010	329	302	280	342	237	389	220	279
AGIS_Os01g004020	242	86	67	114	20	0	39	28
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	4	0	4	2	0	16	0	8
AGIS_Os01g004050	250	217	229	193	222	344	375	197
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	4	0	0
AGIS_Os01g004080	45	10	3	24	0	6	24	21
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	26	16	16	6	6	6	10	0
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	18	0	6	1	4	16	0	0
AGIS_Os01g004130	584	360	374	320	582	566	500	408
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	0	6	0	0	0	4	2
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	78	63	83	19	51	200	120	68
AGIS_Os01g004190	0	0	0	0	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	0	1	0	0	8	4	13	10
AGIS_Os01g004220	10	8	0	0	0	35	28	0
AGIS_Os01g004230	0	1	0	0	0	0	0	1
AGIS_Os01g004240	5	0	4	6	12	8	6	0
AGIS_Os01g004250	25	12	2	1	2	0	10	0
AGIS_Os01g004260	1050	1926	1766	1669	1750	1656	1823	1623
AGIS_Os01g004270	98	131	111	140	241	289	178	208
AGIS_Os01g004280	0	22	5	8	55	42	3	16
AGIS_Os01g004290	0	6	6	6	6	0	4	2
AGIS_Os01g004300	0	28	47	18	0	8	0	3
AGIS_Os01g004310	554	1057	1106	967	1108	1346	1250	1124
AGIS_Os01g004320	2	0	0	1	0	0	0	0
