,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
26375,AGIS_Os05g034120, 1.516396e+00,-0.2838541755, 3.392897e+00,1.014948e-01,0.4160904184,Not_significant,1.875758e-01,2.838239e-01,4.907917e-01,6.644136e-01,1.289183e+00,7.669861e-01,2.070785e+00,5.605345e-01
26377,AGIS_Os05g034140,-8.231610e-01,-1.8261257007, 2.304260e-01,6.437756e-01,0.8485595472,Not_significant,5.861743e-01,4.966918e-01,1.189798e-01,1.172495e-01,0.000000e+00,2.454356e-01,2.643555e-01,1.656125e-01
26378,AGIS_Os05g034150, 1.748506e+00,-0.1428337253, 6.535524e+00,3.293555e-02,0.2613741104,Not_significant,4.454925e-01,4.612138e-01,2.974495e-01,3.517484e-01,1.746634e+00,7.669861e-01,1.233659e+00,1.656125e+00
26386,AGIS_Os05g034230,-2.192704e+00, 3.1207423798, 4.055957e+01,1.962126e-04,0.0131581686,DOWN,1.812451e+01,1.330424e+01,1.151130e+01,1.326873e+01,2.495192e+00,2.239599e+00,2.621525e+00,5.758218e+00
26387,AGIS_Os05g034240, 1.064056e+00, 5.4871394595, 1.601965e+01,3.757860e-03,0.0799161543,Not_significant,2.996523e+01,2.579249e+01,2.754383e+01,2.513047e+01,1.155066e+02,4.451587e+01,4.809067e+01,4.201461e+01
26388,AGIS_Os05g034250, 1.195313e+00, 0.3025132085, 6.758035e-01,4.343304e-01,0.7291129418,Not_significant,2.344697e-01,1.631987e+00,0.000000e+00,1.231119e+00,2.495192e-01,5.215506e-01,2.048755e+00,3.630735e+00
26389,AGIS_Os05g034260,-3.863463e-03, 3.9343390357, 1.042754e-04,9.920971e-01,0.9971942271,Not_significant,1.017599e+01,1.807603e+01,1.430732e+01,1.584822e+01,2.750949e+01,1.414322e+01,1.407693e+01,7.898441e+00
26394,AGIS_Os05g034310,-2.901428e+00, 3.3736262071, 6.413367e+01,3.808814e-05,0.0050556164,DOWN,1.392750e+01,2.300747e+01,1.729669e+01,1.821275e+01,4.200240e+00,2.132221e+00,2.136873e+00,1.732561e+00
26395,AGIS_Os05g034320,-3.929028e-01, 4.4265704785, 2.173168e+00,1.778315e-01,0.5169129174,Not_significant,2.316561e+01,2.882586e+01,2.336466e+01,2.014736e+01,2.890264e+01,1.928203e+01,1.136729e+01,1.670138e+01
26396,AGIS_Os05g034330, 8.425723e-01,-0.2527421309, 7.034315e-01,4.254503e-01,0.7236709678,Not_significant,2.813637e-01,2.128679e-01,8.179862e-01,8.793709e-01,2.328846e+00,8.130053e-01,3.084147e-01,7.898441e-01
