GeneID	WTmockLP_1	WTmockLP_2	WTmockLP_3	WTmockLP_4	WTmockHP_1	WTmockHP_2	WTmockHP_3	WTmockHP_4
AGIS_Os01g003040	123	104	204	85	55	246	63	326
AGIS_Os01g003050	24	69	342	58	179	188	204	154
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2713	2637	3911	3542	2701	2337	2149	2853
AGIS_Os01g003080	424	569	679	584	283	445	453	674
AGIS_Os01g003090	6	21	10	18	10	27	10	56
AGIS_Os01g003100	0	10	22	12	0	26	0	4
AGIS_Os01g003110	41	92	129	72	261	223	172	232
AGIS_Os01g003120	34	52	60	106	2	48	36	54
AGIS_Os01g003130	784	1018	1765	886	1397	1548	1590	1838
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	965	987	1366	924	1202	1100	608	882
AGIS_Os01g003160	8	31	41	18	33	28	14	78
AGIS_Os01g003170	729	1590	1782	1460	1965	1440	1402	1838
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	3	0	0	0	0
AGIS_Os01g003210	10	26	28	60	86	12	46	54
AGIS_Os01g003220	209	721	839	537	699	442	316	340
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	1569	2241	1456	1520	2610	2073	1575	2490
AGIS_Os01g003250	0	0	0	4	0	0	4	12
AGIS_Os01g003260	20	52	75	66	60	18	14	56
AGIS_Os01g003270	0	0	0	4	0	6	10	2
AGIS_Os01g003280	57	149	223	232	76	72	138	178
AGIS_Os01g003290	1047	1412	1403	1104	924	1681	854	1656
AGIS_Os01g003300	440	784	942	660	1856	957	1141	1023
AGIS_Os01g003310	2	4	8	2	0	14	2	0
AGIS_Os01g003320	587	732	740	634	1242	587	470	1096
AGIS_Os01g003330	33	20	52	22	20	37	38	54
AGIS_Os01g003340	0	0	10	16	0	16	14	22
AGIS_Os01g003350	2	9	10	0	26	22	0	52
AGIS_Os01g003360	24	18	8	9	26	18	61	36
AGIS_Os01g003370	33	56	66	40	71	20	30	87
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	3	10	10	16	0	0	0	19
AGIS_Os01g003400	1	0	0	0	0	14	0	0
AGIS_Os01g003410	0	0	8	0	0	0	0	0
AGIS_Os01g003420	3	29	3	22	16	3	0	19
AGIS_Os01g003430	0	0	0	0	0	0	0	0
AGIS_Os01g003440	40	37	34	68	2	91	20	30
AGIS_Os01g003450	1302	1516	1419	1280	1540	933	668	1261
AGIS_Os01g003460	108	104	74	114	48	104	84	210
AGIS_Os01g003470	32	18	40	22	58	11	13	46
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	891	1044	633	915	140	81	74	178
AGIS_Os01g003500	8554	10555	10273	11372	1506	1634	2020	2860
AGIS_Os01g003510	40	78	70	55	4	89	78	142
AGIS_Os01g003520	4608	5187	7103	5908	13617	11485	7267	11611
AGIS_Os01g003530	84	62	30	30	0	22	14	34
AGIS_Os01g003540	147	138	146	180	146	107	58	82
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	36	134	65	146	30	110	85	56
AGIS_Os01g003570	0	2	0	0	0	0	0	0
AGIS_Os01g003580	162	130	546	399	947	538	512	768
AGIS_Os01g003590	88	122	278	116	194	238	205	352
AGIS_Os01g003600	2804	4860	5943	4243	7314	5664	5413	6923
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	17	42	50	26	56	26	0	9
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	324	228	139	262	300	208	160	228
AGIS_Os01g003700	2572	3037	3538	2879	1651	4277	3018	4613
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	12	12	16	8	8	82	8	98
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	95	110	65	94	0	11	40	89
AGIS_Os01g003750	77	70	119	81	12	171	60	206
AGIS_Os01g003760	344	510	637	582	615	735	486	927
AGIS_Os01g003770	151	215	230	335	257	232	163	331
AGIS_Os01g003780	87	140	327	148	251	350	203	556
AGIS_Os01g003790	12961	20642	23115	16975	1139	1164	1574	1826
AGIS_Os01g003800	1299	1891	2370	1609	2775	3065	2064	3148
AGIS_Os01g003810	462	1156	1514	1349	4026	3379	2262	3203
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	260	391	452	224	218	294	205	400
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	449	575	895	593	535	723	858	817
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	10
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	25	18	2	0	0	24	26	22
AGIS_Os01g003920	562	669	1067	963	754	457	619	741
AGIS_Os01g003930	2865	6512	4623	4255	5978	3377	2574	3886
AGIS_Os01g003940	682	1122	1179	875	1151	1186	1338	1428
AGIS_Os01g003950	65	158	138	147	22	68	52	90
AGIS_Os01g003960	270	582	504	433	213	524	361	574
AGIS_Os01g003970	109	257	186	162	80	194	170	237
AGIS_Os01g003980	47	33	69	38	8	73	23	159
AGIS_Os01g003990	16	19	20	9	30	29	0	29
AGIS_Os01g004000	178	322	263	270	28	207	164	328
AGIS_Os01g004010	341	403	598	378	463	500	419	638
AGIS_Os01g004020	128	229	302	237	314	184	131	144
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	12	4	0	42	0	32	36	14
AGIS_Os01g004050	249	334	555	287	592	362	193	560
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	0
AGIS_Os01g004080	1	40	50	25	42	20	36	52
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	0	0	43	6	40	0	0	18
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	30	32	18	22	36	24	12	14
AGIS_Os01g004130	394	572	672	487	852	561	501	836
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	10	0	0	0	26	0	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	52	97	118	37	0	6	0	2
AGIS_Os01g004190	0	0	14	2	0	0	6	1
AGIS_Os01g004200	0	0	0	0	0	0	0	0
