,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
50402,AGIS_Os11g013460, 7.598740e-01,-0.2700746310, 6.350290e-01,4.501362e-01,0.781395692,Not_significant,1.454072e+00,6.048347e-01,1.785911e-01,4.328912e-01,2.507212e-01,1.098326e+00,1.225845e+00,1.112235e+00
50407,AGIS_Os11g013510, 4.682061e-02, 1.5348175506, 2.289410e-02,8.837125e-01,0.966727059,Not_significant,4.080782e+00,2.970806e+00,2.202624e+00,2.184133e+00,2.841507e+00,3.278081e+00,2.558286e+00,2.780586e+00
50413,AGIS_Os11g013570, 2.982119e-01,-1.7605537484, 5.447039e-02,8.217365e-01,0.944777081,Not_significant,6.801304e-01,7.115703e-02,8.929555e-02,2.754762e-01,4.178687e-02,3.041518e-01,2.131905e-01,4.218821e-01
50426,AGIS_Os11g013700,-2.791185e-02, 0.6742887952, 1.755344e-03,9.676806e-01,0.992078456,Not_significant,9.381109e-01,3.291013e+00,1.309668e+00,1.023197e+00,1.232713e+00,5.914064e-01,1.812119e+00,2.262822e+00
50433,AGIS_Os11g013770,-7.336655e-01,-0.2048119966, 1.652302e-01,6.957984e-01,0.898838431,Not_significant,4.315310e+00,4.980992e-01,0.000000e+00,3.935375e-01,2.298278e-01,8.448662e-01,4.263810e-01,3.835292e-02
50434,AGIS_Os11g013780, 1.213986e-02, 3.5046869034, 4.086588e-03,9.506952e-01,0.987585346,Not_significant,1.221889e+01,1.005093e+01,1.026899e+01,1.253417e+01,1.086459e+01,9.851140e+00,1.272037e+01,1.200446e+01
50435,AGIS_Os11g013790, 2.456125e-01, 3.7775319178, 1.960659e-01,6.704744e-01,0.888959179,Not_significant,1.550228e+01,1.092260e+01,1.020946e+01,1.003521e+01,3.322056e+00,1.858706e+01,2.318447e+01,1.764234e+01
50437,AGIS_Os11g013810,-3.411612e-01, 1.8153546130, 1.310022e+00,2.875098e-01,0.688366685,Not_significant,4.925082e+00,4.589628e+00,3.422996e+00,2.754762e+00,3.217589e+00,2.669777e+00,3.642004e+00,2.646351e+00
50438,AGIS_Os11g013820,-2.631630e-02, 4.2396596531, 1.427909e-02,9.080386e-01,0.975745364,Not_significant,1.646385e+01,1.670411e+01,2.366332e+01,1.930301e+01,2.296188e+01,1.813083e+01,1.536748e+01,1.823681e+01
50439,AGIS_Os11g013830, 8.675449e-02, 3.0450566991, 1.702367e-01,6.914122e-01,0.897282141,Not_significant,8.771337e+00,6.493079e+00,8.572373e+00,8.146226e+00,8.294693e+00,8.786609e+00,8.367727e+00,8.303406e+00
50443,AGIS_Os11g013870, 5.436100e-02, 1.6181205908, 2.728995e-02,8.731430e-01,0.962902772,Not_significant,2.955049e+00,2.561653e+00,3.050931e+00,3.108946e+00,1.838622e+00,3.480849e+00,4.228278e+00,3.029880e+00
50445,AGIS_Os11g013890,-1.837408e-01, 5.7877760502, 6.735067e-01,4.372726e-01,0.776317377,Not_significant,5.122086e+01,5.802856e+01,5.586925e+01,6.845585e+01,6.761115e+01,4.550450e+01,5.317326e+01,4.180468e+01
50446,AGIS_Os11g013900,-3.141095e-01, 2.5108062092, 1.304701e+00,2.884818e-01,0.688757196,Not_significant,5.652118e+00,6.795496e+00,5.253555e+00,7.162382e+00,6.832153e+00,3.531541e+00,4.423703e+00,5.657055e+00
50447,AGIS_Os11g013910,-1.407789e-01, 3.6116240891, 4.636830e-01,5.163216e-01,0.816638462,Not_significant,1.456417e+01,1.070913e+01,1.290321e+01,1.282932e+01,9.381152e+00,1.074670e+01,1.211633e+01,1.424811e+01
50448,AGIS_Os11g013920,-1.079754e-02, 1.8470977527, 1.424201e-03,9.708786e-01,0.992692839,Not_significant,2.743974e+00,5.372356e+00,3.036049e+00,3.345069e+00,3.134015e+00,3.768103e+00,3.091262e+00,3.988703e+00
50449,AGIS_Os11g013930,-8.772793e-02, 2.1784883992, 1.160393e-01,7.426904e-01,0.918218469,Not_significant,4.385668e+00,4.678575e+00,4.196891e+00,5.175018e+00,3.426523e+00,4.224331e+00,5.169869e+00,4.659879e+00
