,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
2700,AGIS_Os01g027000, 1.696738e-02, 4.2464215314, 3.823008e-03,9.523224e-01,0.987598851,Not_significant,1.252378e+01,1.519203e+01,2.044868e+01,2.693764e+01,2.302456e+01,1.552864e+01,1.186760e+01,2.602245e+01
2701,AGIS_Os01g027010,-4.737761e-02,-0.9592334211, 3.016085e-03,9.576339e-01,0.989158082,Not_significant,1.031922e+00,5.870455e-01,7.441296e-02,4.722450e-01,5.641227e-01,5.914064e-01,2.842540e-01,2.492940e-01
2706,AGIS_Os01g027060, 1.778027e-01, 0.2881289897, 1.605963e-01,6.997513e-01,0.900479469,Not_significant,7.270359e-01,9.961984e-01,1.518024e+00,1.219966e+00,1.002885e+00,1.723527e+00,1.172548e+00,1.093058e+00
2708,AGIS_Os01g027080, 4.983532e-01, 2.3207161218, 1.794794e+00,2.197242e-01,0.637310303,Not_significant,2.697069e+00,4.785310e+00,4.747547e+00,3.502484e+00,6.999300e+00,9.918730e+00,3.322218e+00,3.681880e+00
2718,AGIS_Os01g027180,-6.498423e-02,-0.5234765872, 5.921113e-03,9.406882e-01,0.985401406,Not_significant,3.752444e-01,1.423141e+00,3.720648e-01,5.115987e-01,9.819914e-01,2.703572e-01,2.487222e-01,1.093058e+00
2724,AGIS_Os01g027240, 1.093159e+00, 0.4075446836, 4.979875e+00,5.828496e-02,0.484953065,Not_significant,1.125733e+00,4.980992e-01,1.294786e+00,5.115987e-01,2.131130e+00,1.334889e+00,1.314675e+00,2.109410e+00
2726,AGIS_Os01g027260,-1.463163e-02, 5.0935229511, 7.694001e-03,9.323933e-01,0.983759403,Not_significant,3.480391e+01,3.397748e+01,3.710230e+01,3.120752e+01,3.771265e+01,3.154731e+01,3.292016e+01,3.357798e+01
2727,AGIS_Os01g027270, 2.163179e-01, 1.8359436789, 4.285436e-01,5.322552e-01,0.823649334,Not_significant,3.424105e+00,4.927624e+00,2.217506e+00,2.282517e+00,6.790366e+00,3.497746e+00,2.416159e+00,2.723057e+00
2730,AGIS_Os01g027300, 3.411800e-01,-0.1931984480, 2.042881e-01,6.641349e-01,0.886832004,Not_significant,1.031922e+00,8.005166e-01,2.678867e-01,8.264287e-01,2.925081e-01,1.503862e+00,1.137016e+00,8.437642e-01
2731,AGIS_Os01g027310, 1.955796e-01, 3.0487582650, 1.709531e-01,6.908970e-01,0.897114021,Not_significant,8.161565e+00,6.759918e+00,5.953037e+00,7.595273e+00,2.548999e+00,1.103395e+01,1.490557e+01,8.936229e+00
2732,AGIS_Os01g027320,-9.405236e-01, 1.7083362739, 1.133021e+01,1.077707e-02,0.326747152,Not_significant,3.822802e+00,4.020372e+00,4.524308e+00,4.565035e+00,1.963983e+00,1.791116e+00,2.433925e+00,2.723057e+00
2734,AGIS_Os01g027340, 2.866763e-02, 4.1500469332, 2.139122e-02,8.875623e-01,0.967722528,Not_significant,1.965342e+01,2.065333e+01,1.547790e+01,1.463959e+01,1.788478e+01,1.618764e+01,2.028863e+01,1.695199e+01
2736,AGIS_Os01g027360,-2.667701e-01, 4.9566498843, 6.983376e-01,4.292985e-01,0.771910612,Not_significant,2.598567e+01,4.052393e+01,3.272682e+01,3.228975e+01,4.872349e+01,1.924605e+01,2.750157e+01,2.113246e+01
2737,AGIS_Os01g027370,-9.577018e-01, 2.9673819138, 1.007854e+01,1.435289e-02,0.355876351,Not_significant,1.008469e+01,1.008651e+01,8.170543e+00,1.239643e+01,4.617449e+00,7.468617e+00,6.058163e+00,3.394233e+00
2738,AGIS_Os01g027380,-1.161137e-01, 3.9559791939, 3.445960e-01,5.743831e-01,0.845772593,Not_significant,1.669837e+01,1.615265e+01,1.763587e+01,1.363607e+01,1.920107e+01,1.351786e+01,1.232952e+01,1.468917e+01
2739,AGIS_Os01g027390,-1.696173e-01, 4.3853187709, 6.006124e-01,4.622040e-01,0.787710600,Not_significant,1.967688e+01,2.241446e+01,2.425863e+01,2.132973e+01,2.440353e+01,1.873913e+01,1.428376e+01,2.178446e+01
2742,AGIS_Os01g027420, 6.792021e-01,-0.0312732238, 5.431586e-01,4.836614e-01,0.799671233,Not_significant,6.097721e-01,9.784091e-01,4.018300e-01,4.328912e-01,8.357374e-02,1.436273e+00,2.380627e+00,1.188940e+00
2746,AGIS_Os01g027460, 5.170072e-02, 3.2457257999, 3.187779e-02,8.630498e-01,0.960371596,Not_significant,1.118697e+01,9.197046e+00,8.914673e+00,7.477212e+00,5.808375e+00,1.071290e+01,1.078389e+01,1.150587e+01
2747,AGIS_Os01g027470, 1.490423e-01, 3.7006098911, 6.872896e-01,4.326115e-01,0.773720202,Not_significant,1.189056e+01,1.065577e+01,1.309668e+01,1.361640e+01,1.466719e+01,1.272369e+01,1.366196e+01,1.340434e+01
2748,AGIS_Os01g027480,-1.795694e+00,-0.6730834221, 5.562199e+00,4.802173e-02,0.465926762,Not_significant,9.850164e-01,1.049566e+00,8.780729e-01,5.312756e-01,7.521636e-01,1.013839e-01,3.197857e-01,1.150587e-01
2751,AGIS_Os01g027510, 4.429274e-01, 1.1188914474, 6.354623e-01,4.499878e-01,0.781395692,Not_significant,9.381109e-01,1.654401e+00,2.515158e+00,1.652857e+00,5.056211e+00,1.317991e+00,1.741056e+00,2.205293e+00
2755,AGIS_Os01g027550, 8.538640e-02, 3.9667501659, 2.304958e-01,6.448086e-01,0.880125671,Not_significant,1.576026e+01,1.319963e+01,1.736799e+01,1.418703e+01,1.761316e+01,1.331509e+01,1.572280e+01,1.762316e+01
2756,AGIS_Os01g027560, 3.972574e-01, 2.5341524508, 2.069476e+00,1.906523e-01,0.616179108,Not_significant,6.168079e+00,3.468905e+00,5.283320e+00,5.096310e+00,5.077104e+00,6.742033e+00,7.266242e+00,6.941878e+00
2758,AGIS_Os01g027580,-1.097429e-01, 4.2815519455, 3.606632e-01,5.657919e-01,0.841609423,Not_significant,2.054463e+01,1.823399e+01,1.870742e+01,2.256937e+01,2.454979e+01,1.471757e+01,1.739279e+01,1.858199e+01
2759,AGIS_Os01g027590,-2.364861e-01, 3.5627037762, 1.472366e+00,2.617049e-01,0.667120509,Not_significant,1.050684e+01,1.538771e+01,1.166795e+01,1.359672e+01,1.109441e+01,1.049324e+01,9.806762e+00,1.167846e+01
2760,AGIS_Os01g027600,-1.746410e-02, 3.7170953613, 6.508869e-03,9.378088e-01,0.984652258,Not_significant,1.231271e+01,1.147407e+01,1.586484e+01,1.304577e+01,1.608794e+01,1.312922e+01,1.083718e+01,1.215787e+01
2761,AGIS_Os01g027610, 1.341187e+00, 2.3747092981, 4.833709e+00,6.153010e-02,0.490602433,Not_significant,3.893160e+00,1.583244e+00,5.447029e+00,1.259320e+00,2.569892e+00,1.084808e+01,8.261131e+00,7.306231e+00
2762,AGIS_Os01g027620,-5.200600e-01, 3.8634042221, 7.191566e+00,2.944889e-02,0.427938542,Not_significant,1.547883e+01,2.168510e+01,1.730845e+01,1.418703e+01,1.349716e+01,1.221677e+01,1.064176e+01,1.112235e+01
2763,AGIS_Os01g027630, 6.955718e-01, 3.6089362165, 4.049868e+00,8.156363e-02,0.518067209,Not_significant,9.451467e+00,8.307583e+00,9.629037e+00,7.851073e+00,5.850162e+00,1.887431e+01,2.057288e+01,1.676022e+01
2765,AGIS_Os01g027650, 9.253433e-01, 1.6579867998, 3.922850e+00,8.557782e-02,0.522372065,Not_significant,1.688600e+00,2.223657e+00,3.437879e+00,1.062551e+00,1.504327e+00,5.052300e+00,4.334873e+00,5.618702e+00
2766,AGIS_Os01g027660, 2.714438e-01, 2.8210295958, 1.097873e+00,3.273120e-01,0.714235779,Not_significant,4.737460e+00,4.856467e+00,7.396648e+00,8.677502e+00,9.255791e+00,5.745090e+00,6.804330e+00,8.763641e+00
2777,AGIS_Os01g027770,-6.600298e-02, 4.5250008052, 1.235146e-01,7.348960e-01,0.915235850,Not_significant,2.094333e+01,2.508285e+01,2.208577e+01,2.569800e+01,2.747487e+01,2.134132e+01,1.961352e+01,2.165022e+01
2779,AGIS_Os01g027790, 6.295273e-01, 1.7160632528, 2.810776e+00,1.348968e-01,0.571606761,Not_significant,2.955049e+00,2.312603e+00,2.559806e+00,2.105426e+00,2.089343e+00,3.717411e+00,5.045508e+00,5.196820e+00
2782,AGIS_Os01g027820, 1.912863e+00,-0.6272258414, 1.222073e+00,3.033341e-01,0.698448828,Not_significant,6.097721e-01,1.067355e-01,1.339433e-01,1.574150e-01,0.000000e+00,1.706630e+00,1.652226e+00,4.985879e-01
2794,AGIS_Os01g027940,-1.340452e-01, 3.8287595430, 4.160408e-01,5.381177e-01,0.827178181,Not_significant,1.587753e+01,1.394678e+01,1.379616e+01,1.534796e+01,9.819914e+00,1.387270e+01,1.501216e+01,1.570552e+01
2796,AGIS_Os01g027960,-2.748042e-01, 3.5419000619, 1.561454e+00,2.490220e-01,0.658313851,Not_significant,1.247687e+01,1.282605e+01,1.217396e+01,1.263255e+01,1.527310e+01,9.648372e+00,7.674858e+00,1.018270e+01
2797,AGIS_Os01g027970, 1.142225e-01,-1.8964990974, 1.065618e-02,9.208841e-01,0.979565105,Not_significant,0.000000e+00,2.846281e-01,2.381215e-01,3.148300e-01,0.000000e+00,1.689732e-01,5.152103e-01,3.068233e-01
2800,AGIS_Os01g028000, 5.627370e-01, 0.2876469567, 1.148408e+00,3.171579e-01,0.706976983,Not_significant,5.159610e-01,1.601033e+00,7.441296e-01,1.042874e+00,2.026663e+00,1.284197e+00,1.083718e+00,1.169764e+00
2803,AGIS_Os01g028030, 1.012230e-01, 2.3190621722, 1.004320e-01,7.599996e-01,0.923212765,Not_significant,5.628665e+00,3.415537e+00,4.241539e+00,5.903062e+00,4.951744e+00,5.981653e+00,5.844973e+00,3.662703e+00
2806,AGIS_Os01g028060,-1.273966e-01, 3.2660041327, 4.260163e-01,5.333893e-01,0.824245256,Not_significant,9.287298e+00,9.374939e+00,1.204002e+01,9.031685e+00,7.124661e+00,8.702122e+00,1.259600e+01,8.495171e+00
2817,AGIS_Os01g028170, 4.651811e-01, 1.9540072009, 3.884575e-01,5.516881e-01,0.834811578,Not_significant,4.784366e+00,1.494298e+00,3.065814e+00,2.931854e+00,7.103768e-01,5.086095e+00,7.923580e+00,4.698232e+00
2823,AGIS_Os01g028230,-6.218231e-01,-0.4606422676, 8.652602e-01,3.811616e-01,0.743284504,Not_significant,1.031922e+00,9.961984e-01,5.804211e-01,6.493369e-01,2.507212e-01,5.407144e-01,4.796786e-01,9.971758e-01
2824,AGIS_Os01g028240, 1.086164e+00,-1.2576549199, 1.261806e+00,2.959611e-01,0.693313956,Not_significant,4.221499e-01,2.846281e-01,5.953037e-02,2.361225e-01,3.969752e-01,6.252010e-01,7.816985e-01,2.492940e-01
2827,AGIS_Os01g028270,-7.378951e-02, 2.5266266648, 3.948459e-02,8.478006e-01,0.954209892,Not_significant,7.059285e+00,4.216054e+00,5.313085e+00,6.532722e+00,2.737040e+00,7.063082e+00,6.591139e+00,6.289878e+00
2828,AGIS_Os01g028280,-1.802202e-04, 4.0681030672, 6.620083e-07,9.993721e-01,0.999768118,Not_significant,1.916092e+01,1.343089e+01,1.659409e+01,1.757145e+01,1.197194e+01,1.799565e+01,1.831662e+01,1.885046e+01
2829,AGIS_Os01g028290, 2.238871e-01, 2.4889459929, 1.920167e-01,6.736561e-01,0.889952489,Not_significant,6.144626e+00,4.909835e+00,4.226656e+00,3.679575e+00,1.796835e+00,7.485515e+00,1.156558e+01,4.794115e+00
2833,AGIS_Os01g028330,-2.720389e-01, 4.4845697372, 1.484262e+00,2.602403e-01,0.665836350,Not_significant,2.535245e+01,2.374866e+01,2.296384e+01,2.418288e+01,1.562829e+01,2.924927e+01,2.215404e+01,1.551375e+01
2838,AGIS_Os01g028380, 1.232122e+00,-1.7937349930, 1.005238e+00,3.474598e-01,0.725229616,Not_significant,2.814333e-01,0.000000e+00,1.785911e-01,1.967687e-01,7.103768e-01,2.365625e-01,1.065952e-01,3.259998e-01
2839,AGIS_Os01g028390, 2.455780e+00,-1.6826956855, 4.312471e+00,7.401367e-02,0.504988138,Not_significant,1.876222e-01,0.000000e+00,1.339433e-01,7.870750e-02,4.805490e-01,5.238171e-01,3.908492e-01,4.027056e-01
2850,AGIS_Os01g028500,-1.522571e+00, 1.7157382474, 1.434565e+01,6.066609e-03,0.291377429,Not_significant,2.603258e+00,5.230042e+00,5.610737e+00,5.903062e+00,2.172917e+00,1.723527e+00,1.225845e+00,1.495764e+00
2851,AGIS_Os01g028510, 5.681637e-02, 2.0006957871, 2.577635e-02,8.767103e-01,0.964512600,Not_significant,4.737460e+00,2.757335e+00,3.556940e+00,4.289559e+00,2.235597e+00,3.599130e+00,5.311996e+00,5.235173e+00
2853,AGIS_Os01g028530,-3.948740e-01,-0.1959844010, 4.759776e-01,5.109741e-01,0.813874249,Not_significant,1.078828e+00,3.913637e-01,1.056664e+00,1.318351e+00,1.128245e+00,5.914064e-01,4.086151e-01,7.287054e-01
2859,AGIS_Os01g028590, 5.342970e-02, 2.6634053970, 5.441753e-02,8.217709e-01,0.944777081,Not_significant,7.387623e+00,5.052149e+00,6.652519e+00,5.430817e+00,9.339365e+00,5.542322e+00,5.507421e+00,5.484467e+00
2860,AGIS_Os01g028600, 6.830611e-01, 1.9154133829, 2.055732e+00,1.921965e-01,0.617610731,Not_significant,3.400652e+00,2.490496e+00,4.033183e+00,1.416735e+00,1.922196e+00,7.029287e+00,4.832318e+00,4.736585e+00
2871,AGIS_Os01g028710,-2.548508e-01, 3.9219067303, 1.448236e+00,2.654504e-01,0.670374238,Not_significant,1.970033e+01,1.353762e+01,1.474865e+01,1.804369e+01,1.201372e+01,1.552864e+01,1.412387e+01,1.327011e+01
2872,AGIS_Os01g028720,-1.728395e-01, 2.9763925851, 6.291484e-01,4.519645e-01,0.782116497,Not_significant,8.677526e+00,5.603616e+00,8.959321e+00,1.021230e+01,8.378267e+00,6.235113e+00,6.608905e+00,7.996583e+00
2875,AGIS_Os01g028750,-8.740361e-02, 4.2270754775, 2.695606e-01,6.185545e-01,0.867079279,Not_significant,2.181108e+01,1.814504e+01,1.830559e+01,1.869303e+01,2.049646e+01,1.767460e+01,1.883183e+01,1.557128e+01
2878,AGIS_Os01g028780, 7.092083e-01,-0.7091962619, 1.085060e+00,3.298947e-01,0.716154597,Not_significant,1.407166e-01,9.428306e-01,7.441296e-01,1.574150e-01,4.596556e-01,7.941743e-01,9.593572e-01,3.643527e-01
2879,AGIS_Os01g028790, 4.143457e-01, 0.9933132055, 1.059603e+00,3.353023e-01,0.719967872,Not_significant,1.454072e+00,2.241446e+00,1.413846e+00,1.377381e+00,9.610980e-01,2.940134e+00,2.753710e+00,2.473763e+00
2884,AGIS_Os01g028840, 1.686738e-01, 4.8511539422, 1.050433e+00,3.372414e-01,0.721629450,Not_significant,2.983193e+01,2.421118e+01,2.653566e+01,2.784278e+01,3.466221e+01,2.916478e+01,2.616913e+01,3.219727e+01
2892,AGIS_Os01g028920, 1.099126e+00,-1.4335990365, 2.809565e-01,6.114848e-01,0.863569594,Not_significant,0.000000e+00,3.024174e-01,6.697167e-01,9.838437e-02,5.850162e-01,3.717411e-01,0.000000e+00,6.136467e-01
2895,AGIS_Os01g028950,-2.238905e+00,-1.0570926799, 4.198082e+00,7.718513e-02,0.510985748,Not_significant,7.270359e-01,1.174091e+00,4.613604e-01,4.722450e-01,0.000000e+00,3.041518e-01,1.421270e-01,2.684704e-01
2897,AGIS_Os01g028970,-4.390786e-01, 2.5103261657, 1.918656e+00,2.060198e-01,0.628951421,Not_significant,8.114659e+00,6.368554e+00,6.176276e+00,5.253725e+00,2.904187e+00,5.609912e+00,5.489655e+00,5.369408e+00
2898,AGIS_Os01g028980,-6.166359e-01, 2.8697049961, 6.281880e+00,3.836771e-02,0.452462191,Not_significant,7.833226e+00,8.556633e+00,8.691434e+00,9.936822e+00,7.709677e+00,5.457836e+00,5.027742e+00,4.966703e+00
2899,AGIS_Os01g028990,-4.892369e-02, 2.5605860910, 4.085590e-02,8.451766e-01,0.953144037,Not_significant,5.886646e+00,4.785310e+00,5.908389e+00,7.339474e+00,6.811260e+00,5.508528e+00,5.276465e+00,5.388585e+00
2900,AGIS_Os01g029000,-5.971016e-01, 2.0828649948, 3.779888e+00,9.015540e-02,0.525740638,Not_significant,3.517916e+00,7.222438e+00,4.807077e+00,4.624065e+00,3.510097e+00,4.325715e+00,1.954246e+00,3.624351e+00
2901,AGIS_Os01g029010, 1.282414e-01, 1.0921188460, 1.249892e-01,7.333903e-01,0.914409742,Not_significant,2.251466e+00,1.832293e+00,1.860324e+00,1.908657e+00,1.838622e+00,2.061474e+00,3.375516e+00,1.629999e+00
2902,AGIS_Os01g029020, 1.947658e-01, 3.0538912834, 9.800676e-01,3.529606e-01,0.728569653,Not_significant,7.293812e+00,7.008967e+00,8.780729e+00,7.772365e+00,8.148439e+00,8.566944e+00,9.895592e+00,8.667759e+00
2904,AGIS_Os01g029040,-2.573456e-01, 0.9718260894, 5.590486e-01,4.773698e-01,0.796837311,Not_significant,1.876222e+00,2.188079e+00,2.783045e+00,1.593827e+00,1.922196e+00,1.655938e+00,1.812119e+00,1.553293e+00
2905,AGIS_Os01g029050,-4.263413e-01, 6.1903838666, 3.773785e+00,9.056478e-02,0.526537433,Not_significant,7.995050e+01,8.021176e+01,7.858009e+01,9.120231e+01,9.287131e+01,5.457836e+01,4.684861e+01,5.969631e+01
2913,AGIS_Os01g029130, 5.354541e-01, 3.3702814140, 8.175284e-01,3.941703e-01,0.751340863,Not_significant,1.109316e+01,8.254215e+00,6.399515e+00,5.824355e+00,2.674360e+00,1.464998e+01,1.899172e+01,1.453576e+01
2914,AGIS_Os01g029140, 4.989487e-01, 3.1413148870, 3.202378e+00,1.140382e-01,0.550447161,Not_significant,6.003910e+00,9.374939e+00,5.268438e+00,7.831396e+00,1.193015e+01,1.576520e+01,8.243366e+00,5.867996e+00
2921,AGIS_Os01g029210, 3.072950e-01,-1.3414855647, 5.611522e-02,8.191205e-01,0.944330478,Not_significant,6.566776e-01,0.000000e+00,3.571822e-01,5.115987e-01,2.089343e-01,3.210492e-01,5.329762e-01,2.876469e-01
2922,AGIS_Os01g029220, 7.293985e-01, 1.8108950565, 4.546545e+00,6.788486e-02,0.493865411,Not_significant,2.814333e+00,2.277025e+00,3.021166e+00,2.105426e+00,2.402745e+00,5.525425e+00,5.489655e+00,4.122938e+00
2923,AGIS_Os01g029230, 9.270743e-01, 2.3185942795, 3.205021e+00,1.139125e-01,0.550447161,Not_significant,4.151141e+00,3.717955e+00,1.860324e+00,3.286038e+00,2.068450e+00,9.073863e+00,8.847405e+00,6.596702e+00
2924,AGIS_Os01g029240, 2.062254e+00, 1.8658734429, 5.925259e+00,4.306288e-02,0.460916547,Not_significant,3.963519e+00,5.870455e-01,1.339433e+00,8.657825e-01,1.483434e+00,6.961698e+00,7.923580e+00,5.733761e+00
2928,AGIS_Os01g029280, 8.956835e-01, 1.8175613262, 5.605199e+00,4.763139e-02,0.465926762,Not_significant,1.266450e+00,3.682376e+00,1.741263e+00,2.794116e+00,1.984876e+00,5.626809e+00,7.408369e+00,3.375057e+00
2932,AGIS_Os01g029320, 1.042379e+00, 4.5045982560, 1.401347e+01,6.443113e-03,0.296413382,Not_significant,1.278176e+01,1.147407e+01,1.461471e+01,1.802402e+01,1.366431e+01,3.543369e+01,4.073715e+01,3.455598e+01
2936,AGIS_Os01g029360, 7.705747e-01, 1.4127310193, 4.964926e+00,5.853809e-02,0.485727011,Not_significant,2.016938e+00,1.974608e+00,1.279903e+00,2.498963e+00,2.152024e+00,3.497746e+00,3.517643e+00,4.065409e+00
2937,AGIS_Os01g029370, 1.113759e-01, 4.1729647049, 3.084690e-01,5.947716e-01,0.855392570,Not_significant,1.716743e+01,1.295058e+01,1.907948e+01,1.965720e+01,2.559446e+01,1.464998e+01,1.867193e+01,1.624246e+01
2938,AGIS_Os01g029380,-3.922064e-01, 6.6775908947, 4.455736e+00,6.997417e-02,0.497040050,Not_significant,1.185069e+02,1.016478e+02,1.083155e+02,1.354556e+02,9.771859e+01,6.927903e+01,9.689508e+01,9.081971e+01
2948,AGIS_Os01g029480,-8.120093e-02, 2.7407418837, 3.314528e-02,8.603870e-01,0.959258151,Not_significant,6.519871e+00,6.759918e+00,5.461911e+00,6.572076e+00,1.901303e+00,8.871095e+00,1.096154e+01,6.117290e+00
2949,AGIS_Os01g029490,-2.210065e-01, 1.3399792299, 3.856625e-01,5.529399e-01,0.835742265,Not_significant,3.001955e+00,2.437128e+00,2.946753e+00,2.203810e+00,1.546114e+00,3.413260e+00,2.309564e+00,2.090234e+00
2950,AGIS_Os01g029500,-4.258323e-01, 3.3672618953, 2.705414e+00,1.413670e-01,0.576943677,Not_significant,1.665147e+01,1.069134e+01,1.050711e+01,9.661345e+00,6.873940e+00,9.310426e+00,1.025091e+01,8.322583e+00
2954,AGIS_Os01g029540,-8.490217e-01, 4.7274461104, 1.083240e+01,1.213660e-02,0.339726291,Not_significant,3.302150e+01,3.639682e+01,2.827693e+01,3.547740e+01,3.242661e+01,1.578210e+01,1.709077e+01,1.317423e+01
2963,AGIS_Os01g029630, 3.127974e+00, 5.4660168499, 5.361586e+01,1.168499e-04,0.061378725,Not_significant,5.042346e+00,1.307510e+01,1.031364e+01,6.886906e+00,1.362043e+02,6.512229e+01,5.612240e+01,6.055925e+01
2984,AGIS_Os01g029840, 2.022280e-01, 4.6030536591, 1.359476e+00,2.792725e-01,0.683331332,Not_significant,2.136548e+01,2.291256e+01,2.114816e+01,2.439932e+01,1.986966e+01,2.929996e+01,2.663105e+01,2.849622e+01
3004,AGIS_Os01g030040, 2.035184e-01, 3.3723703209, 2.294313e-01,6.456720e-01,0.880649646,Not_significant,1.299284e+01,1.017546e+01,5.967919e+00,8.677502e+00,4.763703e+00,1.348407e+01,1.485227e+01,1.164011e+01
3008,AGIS_Os01g030080, 3.791613e-01, 2.7610147154, 1.609301e+00,2.427485e-01,0.653059367,Not_significant,5.910099e+00,4.305000e+00,6.444162e+00,6.375307e+00,4.178687e+00,9.175247e+00,8.829639e+00,8.706112e+00
3015,AGIS_Os01g030150, 3.988104e+00,-2.1243177608, 2.875548e+00,1.311146e-01,0.567688066,Not_significant,4.690554e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.268030e-02,3.886385e-01,4.263810e-01,2.109410e-01
3016,AGIS_Os01g030160, 5.869449e-01, 1.8184955861, 1.159107e+00,3.152380e-01,0.705995271,Not_significant,2.063844e+00,3.237645e+00,1.979385e+00,2.361225e+00,7.521636e-01,6.285805e+00,7.514965e+00,3.701056e+00
3021,AGIS_Os01g030210,-4.771866e-01, 1.8700128007, 2.529336e+00,1.528117e-01,0.588201391,Not_significant,3.564821e+00,5.069938e+00,3.839709e+00,4.171497e+00,1.963983e+00,2.788059e+00,3.286687e+00,4.257174e+00
3028,AGIS_Os01g030280, 1.205604e+00,-0.3700900673, 1.007095e+00,3.470414e-01,0.725211977,Not_significant,7.270359e-01,3.024174e-01,0.000000e+00,1.416735e+00,1.211819e+00,5.576117e-01,9.238255e-01,7.862348e-01
3030,AGIS_Os01g030300, 1.249907e-01, 4.7968692039, 1.623122e-01,6.983363e-01,0.899759118,Not_significant,1.918437e+01,3.002827e+01,2.623801e+01,2.823631e+01,4.613270e+01,1.949951e+01,2.908274e+01,2.368293e+01
3031,AGIS_Os01g030310, 4.435006e-01, 3.3541029798, 3.532264e+00,9.955506e-02,0.540460381,Not_significant,9.568731e+00,7.329174e+00,8.066365e+00,9.326838e+00,8.211120e+00,1.179433e+01,1.426600e+01,1.294411e+01
3032,AGIS_Os01g030320,-3.840176e-01, 3.3216899209, 3.613654e+00,9.616947e-02,0.535366191,Not_significant,9.990881e+00,9.677356e+00,1.131077e+01,1.418703e+01,9.987061e+00,7.130671e+00,7.994643e+00,9.415641e+00
3036,AGIS_Os01g030360,-1.126730e-01, 1.4113153190, 1.184699e-01,7.401255e-01,0.917701558,Not_significant,3.213030e+00,2.881860e+00,2.455628e+00,2.144779e+00,4.053326e+00,1.926295e+00,1.829885e+00,2.492940e+00
3042,AGIS_Os01g030420,-4.755463e-01, 4.7032694638, 8.324407e+00,2.172694e-02,0.390422641,Not_significant,3.372509e+01,2.981480e+01,3.053908e+01,2.678023e+01,2.649287e+01,2.073302e+01,1.964906e+01,2.038457e+01
3043,AGIS_Os01g030430, 2.706259e-01, 3.3327422926, 2.114618e+00,1.863260e-01,0.612210798,Not_significant,9.568731e+00,8.200848e+00,9.673685e+00,8.933301e+00,1.065565e+01,9.699064e+00,1.174324e+01,1.183187e+01
3044,AGIS_Os01g030440,-2.038362e-01, 4.4395335649, 1.395984e+00,2.734097e-01,0.678180957,Not_significant,2.661890e+01,1.837630e+01,2.157976e+01,2.532414e+01,2.557356e+01,1.464998e+01,1.625577e+01,2.492940e+01
3054,AGIS_Os01g030540,-3.839761e-01,-0.2604320385, 1.487773e-01,7.104738e-01,0.905104121,Not_significant,3.283388e-01,1.351984e+00,1.071547e+00,6.690137e-01,1.295393e+00,8.448662e-02,9.771231e-01,5.944702e-01
3058,AGIS_Os01g030580, 8.975313e-01, 2.8627843227, 4.351330e+00,7.297505e-02,0.503862046,Not_significant,5.441043e+00,2.650599e+00,6.518575e+00,5.115987e+00,4.178687e+00,1.341648e+01,9.629104e+00,1.093058e+01
3065,AGIS_Os01g030650, 1.656734e+00,-1.2975049105, 1.628163e+00,2.402561e-01,0.651121922,Not_significant,2.345277e-01,1.778926e-01,3.571822e-01,0.000000e+00,5.432293e-01,4.393304e-01,2.842540e-01,9.204700e-01
3069,AGIS_Os01g030690, 6.276122e-01,-0.2692078970, 5.560337e-01,4.787007e-01,0.797534240,Not_significant,9.850164e-01,7.827273e-01,8.780729e-01,7.870750e-02,7.730571e-01,9.969422e-01,6.573373e-01,1.188940e+00
3073,AGIS_Os01g030730, 4.622870e-01, 0.2486799426, 9.773429e-01,3.535918e-01,0.728852666,Not_significant,1.665147e+00,4.269422e-01,6.994818e-01,1.357704e+00,1.483434e+00,1.030737e+00,1.190314e+00,1.380705e+00
3074,AGIS_Os01g030740,-2.791396e-01,-0.0525738068, 2.140967e-01,6.567278e-01,0.883907041,Not_significant,1.078828e+00,8.005166e-01,8.631904e-01,1.141259e+00,2.507212e-01,1.098326e+00,1.012655e+00,1.169764e+00
3075,AGIS_Os01g030750, 1.425220e+00,-0.9718155163, 1.349482e+00,2.811922e-01,0.684314580,Not_significant,6.332249e-01,0.000000e+00,1.190607e-01,7.477212e-01,5.432293e-01,2.365625e-01,1.030421e+00,4.985879e-01
3077,AGIS_Os01g030770, 3.844881e-01, 1.5478155644, 1.276507e+00,2.932952e-01,0.691310430,Not_significant,2.978502e+00,2.668389e+00,2.902105e+00,1.554473e+00,3.071335e+00,4.038461e+00,2.540520e+00,3.336704e+00
3078,AGIS_Os01g030780, 9.486670e-01, 1.1574569095, 5.877851e+00,4.348242e-02,0.461921275,Not_significant,1.852769e+00,1.174091e+00,1.607320e+00,1.239643e+00,1.755048e+00,2.990826e+00,4.370405e+00,2.550469e+00
3079,AGIS_Os01g030790, 7.626806e-02, 1.6755988589, 3.983211e-02,8.471422e-01,0.954005058,Not_significant,2.532899e+00,2.152500e+00,3.422996e+00,4.210851e+00,4.492088e+00,3.294978e+00,2.949135e+00,2.205293e+00
