gene_id	E_1	E_2	E_3	J3_1	J3_2	J3_3	J4_1	J4_2	J4_3	pJ2_1	pJ2_2	pJ2_3	ppJ2_1	ppJ2_2	ppJ2_3	RF_1	RF_2	RF_3	RM_1	RM_2	RM_3
Hg_chrom1_TN10gene_2182	-0.387759550881114	-0.235706966185377	-0.309944922146034	0.202360535161255	0.24309956812513	0.304516371302855	0.010752098625364	-0.0975311775401	0.108358475263735	0.271756518606034	0.356454466959356	0.0780532416176953	0.379421868607984	0.493681002141894	0.612938885828456	-0.384024999432151	-0.36126200351535	-0.294386220600131	-0.299755187438176	-0.3633766785267	-0.327645325974673
Hg_chrom1_TN10gene_2181	-1.8646590097543	-1.84558148748027	-1.78705602395539	-0.155061117634816	-0.376064372111461	-0.30342532855726	3.41610319647145	3.93822866615115	3.45882247673991	-1.11057673423637	-1.14306209190901	-1.24962910377525	-2.01303112313354	-1.90683878401379	-1.62746585489626	-1.15120717079192	-1.23812960464655	-1.38263197443149	2.22958201321607	3.23274398896368	2.87893943978546
Hg_chrom1_TN10gene_2180	-1.72476965324036	-1.52635009417034	-1.57341567438056	-0.486500156204045	-0.787860547628821	-0.736189781562839	2.44776971571431	2.87390652087111	2.52141388874469	-1.32262018776862	-1.18428540762773	-1.37435349332351	-1.43291610188354	-1.45995893376058	-1.58115379639602	-0.658455684889143	-0.734875274576778	-0.817142960648987	2.68926187615035	3.58666638143238	3.28182936514903
Hg_chrom1_TN10gene_2179	-1.05230341933096	-0.881793848794869	-1.05845453038449	1.1374496339481	0.891844681464693	0.691372721476737	0.849060956847657	1.16661932223592	0.949415979139815	-0.873371658419309	-0.644264219999163	-0.663746523447931	-0.810019417112255	-1.03491587391302	-0.840165065600837	-0.0692849560169417	0.00177688876379456	-0.0583864150227011	0.56513166827631	1.01401155564326	0.720022520246165
Hg_chrom1_TN10gene_2178	-0.106754339559135	-0.118565958188547	0.1735688780735	0.171978743530493	0.145965228051541	0.339411309325962	0.0223055511533747	-0.0647543756316757	-0.0227351710907868	0.015416564270252	0.188554381670034	-0.0265994231139803	-0.348377580741227	-0.486368507249049	-0.468517367914812	0.863178500036033	0.745993578359691	0.749352405928008	-0.82678287148871	-0.372525341745133	-0.573744203675851
Hg_chrom1_TN10gene_2175	-0.887518051804741	-1.18872095799877	-0.813479042477569	-1.27490402439451	-1.08367116197313	-0.963111139082148	3.15335597549302	3.72910635212566	2.97657816884187	-1.29555760635172	-1.29643212085578	-1.35170388781808	-1.19759720037047	-1.2221715582159	-1.14585302851649	-0.87344813813105	-0.959801449451748	-0.955582668890153	1.72791580073195	2.60319403542842	2.31940170371137
Hg_chrom1_TN10gene_2174	1.00972563595507	1.12783934258179	1.15275913660624	-0.5156285545888	-0.33128652564865	-0.246432502885902	-0.261856308494337	-0.186302504766513	-0.0793014368929201	-0.451596616707564	-0.177672507787908	-0.470361137869346	-0.463763343558545	-0.513203823691667	-0.464125410596476	0.410440955987567	0.420642590259399	0.181676411286808	-0.102511872177747	0.147043456811457	-0.186084983821933
Hg_chrom1_TN10gene_2173	-1.25381711222087	-1.25978913999432	-1.16009372137747	-1.045466842937	-1.00570879376868	-1.0452581902853	2.46270811501327	2.8870824798626	2.52527240879842	-0.955570504408748	-1.08816944278299	-1.13148399631555	-1.15705751935846	-1.136555064906	-1.06829717486789	-0.597807471922364	-0.695008423483227	-0.371349787120781	1.8878807200972	2.75494009254959	2.45354936942857
Hg_chrom1_TN10gene_2172	-1.69394160012965	-1.6480409831679	-1.5241094676669	0.444485065979704	0.546796015686104	0.462944718616328	2.77819830797537	3.1611270246391	2.48763086709116	0.864230987553206	0.647540269635984	0.95680695500671	-1.55238283623504	-1.4557448704802	-1.4765782963129	0.370635058327668	0.185956998029688	0.405505910294675	-1.60998119034578	-1.10729695933625	-1.24378197516109
Hg_chrom1_TN10gene_2171	-0.195495045504249	-0.259422300917774	-0.449252445983077	0.403996777011239	0.505333254631948	0.471651641890904	0.251925498703354	0.423360145670216	0.433957927735623	-0.401878199759369	-0.266368991745069	-0.192559676909622	-0.384500684304412	-0.425713789511607	-0.28432983732779	-0.0196460109589349	-0.148903014542329	-0.148629952634484	0.201285803518896	0.330779638412297	0.15440926252429
Hg_chrom1_TN10gene_2170	0.00627440636528043	-0.156308526424365	0.0363291093521596	-0.370317373940416	-0.245950514528143	-0.251340938224116	0.946973206282154	1.45835526934258	0.906887726472851	-0.402721809921662	-0.315832012602611	-0.224945779562276	-0.665032948156966	-0.59739913799103	-0.694495837395474	-0.494362543948593	-0.244441142149384	-0.34248237528868	0.0710747553965092	0.881790375870183	0.697946091052028
Hg_chrom1_TN10gene_2169	-0.0599887946933251	-0.197131010798192	-0.00873926412338477	0.0290304054064219	0.160095653692672	0.0600732860262099	0.477544021288807	0.46618694121779	0.393917836395566	-0.274085472658364	-0.218549773119329	-0.226431889908722	-0.309990799350484	-0.0975139837180912	-0.295898644476628	0.0039921332931776	0.0646759794055116	0.00869851576918457	-0.341402526619802	0.2360738508198	0.129443536151195
Hg_chrom1_TN10gene_2168	0.64887321419647	0.615546212485318	0.486957284647847	-0.231551526103509	-0.343212179474451	-0.254848001490254	-0.189315136853622	-0.182486059841329	-0.256711077035195	-0.230284927832956	-0.313649117228566	-0.23411314819722	0.0178134238688745	0.00359846894171056	0.00837009388941112	0.159951324995264	0.131635008076845	0.141300535471061	0.0479425429640834	-0.00970005450882461	-0.0161168809709711
Hg_chrom1_TN10gene_2167	-1.95039191869347	-2.20037079832365	-1.92109454426541	0.93299090526353	0.496839323297682	0.667883380407917	2.09253881469656	2.49571083712811	2.18916346334998	-1.21113324438257	-1.05187015569064	-1.17627484539066	-1.87235737668575	-1.69804021104952	-1.79510607728328	-0.155523991337729	-0.0394653823236535	-0.0572640092896606	1.64526756844876	2.46905198286829	2.1394462792552
Hg_chrom1_TN10gene_2166	-0.295794197159578	-0.341477224521769	-0.415383633002721	0.490417967137232	0.397530957109892	0.32268584159163	0.139405387435925	0.321316451273299	0.388984166289074	-0.461885568965664	-0.318106874735248	-0.276015118391413	-0.27341619806394	-0.232309778426613	-0.0646270953973431	0.377823874849886	0.390031599659503	0.430537182994959	-0.250908350749373	0.0341037240230193	-0.36291311295075
Hg_chrom1_TN10gene_2165	-0.999680403103788	-0.938794273279971	-0.977419576245273	0.665371956989981	0.606087067685726	0.455554447574571	0.273522504394522	0.313584077109802	0.175522100754744	-0.134803705546881	-0.046659645843901	-0.123373533607074	-0.0788105488499333	0.183859988031621	0.103155386091055	-0.447186059381957	-0.299549183264324	-0.486582176198116	0.578525488307763	0.657125357999403	0.520550730382002
Hg_chrom1_TN10gene_2164	-0.34195819561214	-0.324682794248313	-0.211034362396973	-0.520681405431741	-0.510657682396841	-0.628712243622731	-0.478120330097454	-0.438461687157449	-0.144727898976294	0.114591030509988	-0.0443246994708026	0.019172250757185	1.19573348577978	1.14694261938802	1.2097495973806	0.0028792119261869	-0.270126028214055	-0.040546030511786	0.221441690364161	-0.0611516784661958	0.104675150496856
Hg_chrom1_TN10gene_2163	-2.69267591804294	-2.65340437641175	-2.7260658628013	1.77005323610299	1.7666080619396	1.81633744191225	1.32926207175776	1.24056184049368	1.35299131882758	0.981490469378851	0.964547569535913	1.03033592220595	-1.42120785573747	-1.29505709888728	-1.43123209349243	1.0736611084398	1.0480645946619	1.11809320286606	-1.14342263928367	-1.01523617456139	-1.11370481890406
Hg_chrom1_TN10gene_2162	-1.39210427073509	-1.3406123665866	-1.4086075058196	2.38725869786138	2.40097475538558	2.37522635102823	0.409415237805742	0.34836231484419	0.401043280040554	0.909811679768955	0.878233342402355	0.934804879460533	-1.26419894491948	-1.29443633403112	-1.35669881044402	0.77490904029186	0.742601835711417	0.859628765150843	-1.77410110819394	-1.62133592067577	-1.97017491834604
