,gene,E_1,E_2,E_3,ppJ2_1,ppJ2_2,ppJ2_3,pJ2_1,pJ2_2,pJ2_3,J3_1,J3_2,J3_3,J4_1,J4_2,J4_3,RF_1,RF_2,RF_3,RM_1,RM_2,RM_3,cluster,membership
39,Hg_chrom1_TN10gene_358,-1.27110358740684,-0.921350570985832,-1.50758667051273,-1.29797900049743,-0.921141743252529,-1.11628015563057,-0.876033869323343,-0.714059678233448,-0.927113541932454,0.694096004372109,0.728886661841409,0.906852971004668,1.49497877548231,1.25397344094503,1.36633057615451,0.47955334964162,0.46128912855759,0.756888235165462,0.145173981944766,0.645564532009156,0.619061160656557,1,0.999999369356177
40,Hg_chrom1_TN10gene_476,-1.36800316381145,-1.37963131049848,-1.33952596952468,-1.20235071400613,-1.05423665817529,-1.11877089173078,-0.468075902357196,-0.43497085326837,-0.231840669707259,1.03109987595878,0.683600687489547,0.64515895881747,1.10857694518009,1.47703555239214,1.05364703935686,-0.305177266767323,-0.227493217781471,-0.0166448443009257,0.708409125658249,1.40775218977465,1.03144108730156,1,0.978111860463741
41,Hg_chrom1_TN10gene_480,-1.78125578692102,-1.23531825401872,-1.87006511162528,-0.96245769333957,-1.24974733006033,-0.602793237782346,-0.146929918181531,-0.11537415343332,-0.133389830543591,0.765767442608891,0.514920369956242,0.518602646771618,1.13497220279534,1.1866265718736,1.36678555060724,-0.19910177612316,0.0199086278659299,-0.193759563585763,0.819175120600408,1.33275184879711,0.830682273738259,1,0.990165518080504
42,Hg_chrom1_TN10gene_579,-0.793040027709067,-1.79479971618375,-1.5071983343415,-0.97906442439351,-1.20138388327958,-1.00133467754712,-0.29732985965552,-0.708502002033504,-0.514582339789676,0.517296140316952,0.416984600470867,0.579224631877628,1.49650894818255,1.48131533000538,1.66345048854662,0.613034234569428,0.860974359438062,0.640591316679034,0.290798025855168,0.10408661580001,0.132970573191534,1,0.999979751841261
43,Hg_chrom1_TN10gene_647,-1.28037869973965,-1.28827467675058,-1.31931616082754,-1.13601856872427,-1.17582740991861,-1.18097604203347,-0.261989299955274,-0.316864710629423,-0.266176131147078,0.367082949759096,0.0855547220181217,0.386456046851934,1.80109404114531,0.981442389398169,2.17358920050361,0.500034035327241,0.395314211072018,0.510564790577405,0.096845251298178,0.865663720069035,0.0621803417057867,1,0.999755484558668
44,Hg_chrom1_TN10gene_698,-1.63565172914444,-1.54644646892348,-2.02357478149426,-0.501973035524989,-0.200337917354304,-0.982457625053398,-0.447434365710892,-0.511526322975423,-0.443474098296737,0.0603640251944559,0.139457782859565,0.0741346160297144,1.17768417430357,0.932498666587593,0.88788153318769,0.360091062764886,0.297807713932044,0.390168230814189,1.68129659591884,1.03128441506708,1.26020752781831,1,0.536210770239691
45,Hg_chrom1_TN10gene_771,-1.44535474572627,-1.49599098181417,-1.41860380118911,-1.36981567046051,-1.38437477220101,-1.12841979069808,-0.186553009725462,-0.143154822933289,-0.399496974303289,1.44455374076777,1.07989395870807,1.1219943718488,0.802871213042868,1.00414993262851,0.90526507453745,0.506317371961794,0.33873541264332,0.488520124833187,0.0870761680154477,0.779199489282439,0.413187710781551,1,0.999998012111729
46,Hg_chrom1_TN10gene_850,-1.18505795925491,-0.94457719863195,-1.56389834573994,-1.08569479423776,-0.897514207565372,-0.990119841277841,-0.433136850583403,-0.411483699024613,-0.347521681439876,0.514482556538741,0.147114996004178,0.527823237991903,1.28462291183923,1.75425974861945,1.32431896207772,0.941859352031119,0.744090590817839,1.62880620060451,-0.808061246483753,-0.132498537353506,-0.0678141949317561,1,0.810526538363308
47,Hg_chrom1_TN10gene_878,-1.13396146623844,-1.14177412317097,-1.10329771847189,-1.11075562266386,-1.15245464877138,-1.11637469351202,-0.498407706655682,-0.507526441503633,-0.488854039180495,0.427587272403505,0.471649528848974,0.463671102733463,1.76361611768479,1.86570844706756,1.77802038394978,0.614332078383639,0.623026116341111,0.642282868769113,-0.271200358979385,-0.000629767813058943,-0.124657329221135,1,0.984847562982509
48,Hg_chrom1_TN10gene_890,-1.85224047280276,-1.9575738151422,-1.45945843426825,-1.0104806487872,-0.704058142522546,-0.398064755703529,-0.3859862369421,-0.419594961571835,-0.474192192586382,0.969560953368901,0.762520783492554,0.822768053209567,1.06764486427873,1.18889383611392,0.840773149722317,0.757695489718766,0.969096902205882,0.947076529317119,-0.41533495326937,0.546680675341294,0.204273376827138,1,0.999990727214582
