,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmockWT_1,CPM.HPmockWT_2,CPM.HPmockWT_3,CPM.HPmockWT_4,CPM.HPmockpho2_1,CPM.HPmockpho2_2,CPM.HPmockpho2_3,CPM.HPmockpho2_4
4194,AGIS_Os01g041940,-9.641852e-01, 2.8882875290,4.765799e+00,6.214437e-02,0.443137886,Not_significant,2.070639e+01,6.567226e+00,4.479242e+00,8.921596e+00,4.891433e+00,3.199370e+00,4.640439e+00,5.162865e+00
4196,AGIS_Os01g041960, 4.071149e-01, 3.6731138177,1.173290e+00,3.117258e-01,0.674644210,Not_significant,6.855176e+00,1.165946e+01,8.857828e+00,1.594986e+01,1.848397e+01,1.816113e+01,7.734065e+00,1.367353e+01
4201,AGIS_Os01g042010,-2.138570e-03, 3.6996427805,5.379329e-05,9.943338e-01,0.998474923,Not_significant,1.713794e+01,1.250231e+01,9.461770e+00,1.153209e+01,2.163518e+01,1.180944e+01,1.087189e+01,8.349321e+00
4202,AGIS_Os01g042020,-1.177597e-01, 6.0595279808,2.714441e-01,6.169841e-01,0.847104554,Not_significant,1.300605e+02,5.647112e+01,5.435485e+01,4.552596e+01,8.564710e+01,4.888449e+01,5.851373e+01,5.348405e+01
4203,AGIS_Os01g042030, 3.428398e-01, 0.8079723745,1.588217e-01,7.010277e-01,0.885571390,Not_significant,1.267738e+00,1.158922e+00,1.006571e+00,1.864642e+00,1.834287e+00,1.082140e+00,4.242687e+00,8.873674e-01
4204,AGIS_Os01g042040, 2.374010e-01, 1.5194578189,1.561047e-01,7.034497e-01,0.886734754,Not_significant,2.676336e+00,2.528558e+00,3.372014e+00,1.577774e+00,2.445716e+00,2.493626e+00,2.563290e+00,4.638512e+00
4205,AGIS_Os01g042050,-3.621350e-01, 1.4376692306,3.361342e-01,5.785751e-01,0.828600623,Not_significant,5.540485e+00,2.072012e+00,2.315114e+00,2.352318e+00,1.646155e+00,2.399527e+00,2.121344e+00,2.581432e+00
4206,AGIS_Os01g042060, 5.696821e-01, 3.4092450549,3.264876e+00,1.097197e-01,0.511700039,Not_significant,8.545493e+00,9.341616e+00,1.011604e+01,5.852108e+00,1.373364e+01,9.362861e+00,1.688236e+01,1.052740e+01
4207,AGIS_Os01g042070, 4.661641e-01, 2.6727549804,7.630938e-01,4.089806e-01,0.733950611,Not_significant,2.018990e+00,6.461869e+00,3.271357e+00,9.753513e+00,8.560007e+00,1.086845e+01,2.563290e+00,6.816595e+00
4208,AGIS_Os01g042080,-1.645138e-01, 9.3152310034,3.581629e-01,5.668439e-01,0.822535470,Not_significant,9.606168e+02,5.371780e+02,7.550795e+02,4.688858e+02,5.398448e+02,4.459357e+02,7.138763e+02,6.742379e+02
