GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	0	2	0	0
AGIS_Os01g001640	0	0	0	0	0	0	10	0
AGIS_Os01g001650	0	32	0	20	29	29	0	8
AGIS_Os01g001660	0	0	0	0	0	5	28	0
AGIS_Os01g001670	0	0	0	0	0	0	0	0
AGIS_Os01g001680	331	1068	459	1432	670	900	499	822
AGIS_Os01g001690	18	12	0	22	28	14	0	0
AGIS_Os01g001700	0	0	0	0	0	1	0	0
AGIS_Os01g001710	0	1	20	36	32	12	12	17
AGIS_Os01g001720	0	6	0	8	12	12	0	0
AGIS_Os01g001730	6	2	2	78	13	32	0	10
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	4	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	20	54	10	36	46	18	24	26
AGIS_Os01g001790	0	12	0	12	0	12	0	1
AGIS_Os01g001800	0	2	1	14	11	8	0	7
AGIS_Os01g001810	40	0	0	18	4	7	0	4
AGIS_Os01g001820	0	4	0	0	0	13	0	5
AGIS_Os01g001830	8242	6915	6565	7777	4585	5069	8152	6565
AGIS_Os01g001840	202	513	248	1251	663	777	258	637
AGIS_Os01g001850	79	132	120	341	361	237	174	345
AGIS_Os01g001860	5900	4350	3963	5712	2443	3922	5943	7010
AGIS_Os01g001870	228	262	329	451	103	296	395	389
AGIS_Os01g001880	3569	2834	2558	3606	1740	1748	2479	3658
AGIS_Os01g001890	997	636	687	775	343	362	493	787
AGIS_Os01g001900	2540	2048	1953	2750	1454	1437	2217	3157
AGIS_Os01g001910	36	21	6	29	18	14	6	5
AGIS_Os01g001920	1295	1019	1031	1057	664	465	824	842
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	0	0	5	0	8	0	6
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	35	40	28	112	57	130	44	73
AGIS_Os01g001980	220	490	268	643	300	314	454	304
AGIS_Os01g001990	158	156	68	170	56	96	78	96
AGIS_Os01g002000	256	283	200	378	163	230	224	299
AGIS_Os01g002010	245	1759	857	1995	922	863	830	1045
AGIS_Os01g002020	1348	4902	2129	6574	3913	4261	2705	4767
AGIS_Os01g002030	306	122	97	149	17	74	213	257
AGIS_Os01g002040	1399	1439	1203	1949	1290	947	1037	984
AGIS_Os01g002050	722	791	614	1053	601	533	557	647
AGIS_Os01g002060	830	1431	768	1868	1647	1165	1048	1186
AGIS_Os01g002070	182	102	118	125	49	77	540	105
AGIS_Os01g002080	401	677	638	809	478	552	1148	573
AGIS_Os01g002090	607	654	648	822	499	485	499	751
AGIS_Os01g002100	0	0	0	0	0	10	4	0
AGIS_Os01g002110	0	0	2	0	0	12	0	2
AGIS_Os01g002120	0	0	14	0	0	6	4	1
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
