effector,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00037,0.1039038733050432,0.1021935410179618,-0.38725726010537453,-0.952072243789553,0.1530179046055863,-0.13542936667518202,0.3301172765859618,-0.05176303638520883
BM00038,-0.020771608294711478,-0.5607037730492009,-0.12734742242743965,-0.268732616710767,0.03212520681419762,-0.589390701572518,0.5145776365137796,0.5784964721593375
BM00039,-1.4251311941584057,-2.0943673671174836,-1.624498096408765,-1.7384145333006888,2.293772400398997,3.1472401690830005,1.4348750591902244,0.7990942627090488
BM00042,0.13477558313815052,-0.8540196698776457,-0.06301344061045956,-0.003973066859746977,-0.2706704766070551,-0.720016017837465,0.19943377703046064,0.17810174204354196
BM00044,-1.196767054959421,-2.3274384618644794,-1.2694727201087,-1.4050592261682224,0.6857258976015139,-0.4053648230727905,1.6690686312163703,0.7735966139551705
BM00045,-0.582619114062516,-1.3013015053953594,-0.6510069500717689,-0.9123274329652935,1.3871505354503286,0.5917617036048783,1.535058223251264,0.5364934871411211
BM00046,0.30877418206985185,-0.75449988225734,0.2425071033775264,-0.4811973222772004,-0.22363601288724938,-0.3763854871406986,-0.3372079189238606,0.2229515540627756
BM00051,-0.5390957953015584,-0.9719435053212134,-0.6258991098885288,-1.1467004226085749,0.17758043318504435,0.8435665774672685,-0.1520111798268134,0.43727636332755215
BM00052,-1.9744630559496394,-2.489856941379681,-2.1399078610291546,-2.440215172515857,0.3291454494717638,1.4159489817387736,0.7925292949327989,0.9939367502697074
BM00053,-2.9452898989255996,-3.6163767564262246,-3.1350814796816064,-3.3984114450163707,-0.5867506716627724,0.08075830573114362,1.0515632868265279,4.117254218746597
BM00055,0.5652380994317713,-0.17500861642901447,0.32540992435516897,0.05085624330893675,-0.12935137290224993,-0.5742042836607905,1.3540636121283416,0.23060978466346738
BM00056,0.5323342972916398,-0.3966123816815086,0.6438883920626146,-0.22229348679962724,0.4326164833292027,-0.6517789782579516,0.10106799730661387,0.3189094205149078
