effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00012,-1.422358893261198,-1.5017814240252265,-1.115471294778062,-1.1230228870368326,-0.860462670275737,-1.6674044263998662,1.126722500066942,1.4280067893924688,-1.2310269450967781,-1.7227218004649596,-0.8697377048218727,-1.2142463303533004,0.5527135829570118,0.16476822202280295,1.0643193057673872,1.0719224332552304
BM00014,-1.2918796472004002,-0.7928793710006118,-1.2066594674991833,-1.4704985096028167,-0.4076898049806193,1.8881423600104883,-0.9002744024907666,-0.7847640407853733,-0.857383985909695,-1.1106654258848225,-0.9983252672734447,-1.3798396993970583,-0.45216658012675115,-0.35602444705774433,-0.42500812566240614,0.6134927262341395
BM00015,-1.4422861936528684,-1.2701560660999214,-1.3731271502195583,-1.435609109947579,-0.5320090705099444,-0.6619159034504397,-0.27604471982051454,0.5199200758637086,-1.042075544449103,-1.5442620833580167,-1.0556981382566026,-1.3176539504207654,-0.2700223667976293,-0.24636998013172343,-0.5718332610648678,0.45695805009504953
BM00016,-1.1056178749814258,-0.7068999692004656,-1.0873500830933163,-0.9791055113638375,-0.15858016079655385,-1.7801842690322,-0.4826557970036555,0.7128299702179173,-0.05484009092790572,-0.8317487459267238,-0.41398058931788706,-0.6675818903905948,0.9308373097763958,1.2581787649439062,0.25947343257170874,0.7312336390293098
BM00017,-1.1087792650137365,-0.7533976060401952,-1.1906558127727496,-1.2581673225875867,-0.5987689309082774,-0.40712942414586023,-0.38864217797779477,-0.0014172969275037719,-0.8997160801061458,-1.296254284326672,-1.0653679849075974,-1.618194734334361,-0.09780951354437416,-0.2646426999101206,0.22200731162316323,0.3454013155333068
BM00018,-1.1065346392648845,-0.7249161282889761,-1.0001722700821405,-1.2849205564459572,-0.4566154882530984,0.2693980274933774,0.08992197964882559,-0.42207327824466034,-1.0068203087016048,-2.5390730214096573,0.3392589413404991,0.10248768831628738,2.3370770070094227,2.407096599171974,2.1453306647137333,1.5867993690339781
BM00019,-0.025460961510841575,-0.09728896874869877,-0.3471844673408137,-0.3228583227852313,0.4230413488835332,-0.0070027156900941915,0.10709379436375227,-0.7100019538684135,-0.6277402390877787,-0.765563216549426,-0.7606289543748025,-1.4103808173715329,0.05591392466792041,-0.378261773035023,-0.1295586087821716,0.1254177893380692
BM00020,-1.9982175738720083,-2.108069624585884,-2.008694722512556,-1.9525547322510834,-2.477914080712895,-1.9830871209664258,0.23074342793388866,0.5479460680593884,-1.9819502852648436,-2.473125703580612,-2.1253538031620476,-2.562777850346968,-0.16136839229043606,0.09668452515589977,0.934055854036667,0.6372941608433669
BM00021,-1.3144849371116716,-1.5689436354475754,-1.2299850527808032,-1.1763064040496367,-0.24478480069401234,0.13617279629651327,-0.08966035312131995,0.35138114476283844,-1.351075067280654,-1.9843698387615616,-1.4531663892342404,-1.6276953339974365,0.5917995941431715,0.23849796157412478,-0.7102370730057082,0.8971030136258957
BM00022,-1.4211498331038752,-1.0531368367168996,-0.9637997915077402,-1.7987102106035258,-0.8967334948098654,-1.314802229749984,-0.7735943859841522,-1.0990241640874754,-0.5284586734767067,-0.9412174768692082,-0.4871057552249459,-1.0292061743358032,0.6631161475539308,1.0690266255236143,-0.19193562926894428,-0.32271481143272324
BM00023,-1.3249774800736753,-1.1434909330238705,-1.2783566066380285,-1.794246420312241,-1.6502630874161026,-1.1227291454447614,-1.4065284689128275,-0.45149954505771395,-1.1810041256955235,-2.0010265041494755,-1.4126504129712072,-1.5048731271396614,0.8167066246626592,0.07114090749486213,0.22596321313448742,0.9641602451146652
BM00024,-2.067733810842944,-2.035895627200929,-2.0086938954474207,-1.597200584027786,-1.2567109089436153,-1.9563427575161045,0.31987140496339256,1.6992832140287972,-0.9055504141661208,-1.991075972889644,-1.0793469105268036,-1.703737205727859,-0.3174955297851783,-0.2211810088297266,2.384749675490556,1.0642838595928756
BM00025,-1.6052129572188845,-1.0268828180444345,-1.5808361204186137,-2.2204569942855246,-0.8003904345476929,0.12374266899779214,-1.5529931122973548,0.5989888853280508,-1.159242342514358,-1.7390997945738338,-1.3113775315462908,-1.6109017164069759,1.0527042998260392,2.0767623044139127,0.7706684770543707,0.7702116418443682
BM00027,-0.17996307747513013,0.4000182591592398,-0.05271531526563027,-0.6792103904657235,-0.7467336778229436,-1.10014074028211,-1.9582509834239523,-0.15380809816208182,-0.4205366187509958,-1.0390891404757916,-0.3913841252808329,-1.382975192995834,-0.7388177327814314,-0.3683515194030968,0.5199355785283976,-0.14036462578605005
BM00028,-0.4662938184846857,-0.20859272385796673,-0.49488539528688436,-0.4828392299186797,-0.08538678251199082,0.18429228909400722,-1.1096475003828075,-0.8468276777417795,-0.8799520602980075,-1.1744515196168022,-0.6311823754515876,-0.847198443897609,0.14336225813591771,-0.2434687969939574,-1.2075732865640676,0.03131944418905183
BM00029,-0.0374460521355052,0.3777130820890826,0.040092509321296266,-0.15795423058231597,-0.8668650249264055,-2.1848761342203047,-1.2639921454940826,-0.2766485248333272,-1.9701315363572103,-2.303170787314753,-0.5540122937509471,-1.3667368248270968,1.3982594694074804,1.415555769769384,-1.4471851548304215,2.951983225337922
BM00030,-3.135521563533904,-3.156128865520444,-3.0535114090712687,-2.9706395903800624,-0.3277426973319135,-1.295802812746155,0.029200624007302757,2.348885512329592,-2.039298902028523,-2.881596945723939,-2.256362911596337,-2.3151149840855436,-0.7162654465535832,-0.094731685047881,1.2849081642771747,1.91473638241716
BM00031,-1.4697630673533943,-1.9203838192527918,-1.435510510778751,-1.020472028028073,-0.9084947896697896,-0.9504193095294037,0.842696018291365,2.0855517682388536,-0.9089366856026718,-1.772323921065645,-0.8715076497416215,-1.0894294459863136,1.2765159670328872,0.3026714637010625,1.255617268254291,0.9659242516803788
BM00032,0.8868739477609505,1.0765029809771098,0.9324472797334401,0.32676311791568163,-0.05410630841370618,-0.7507500847015186,-0.9004572895370422,-0.13926724917540856,0.6281493826047377,0.22706987096204456,0.33741011071086474,0.35463617918095813,0.22956788726198094,0.0666823749528897,-1.4085050742866305,0.10131880997427116
BM00033,-1.8790024028795622,-1.4165704719555485,-1.711654848803257,-2.188832867019902,-1.5641467102104347,-0.7465374336839696,-0.8203117522335185,0.09842131821255701,-1.39624070901552,-2.187557749992498,-1.5819852639157035,-1.822209178943896,-0.024493951194789188,0.05870395338753301,0.6140657105425528,0.8758316858728789
BM00034,-1.5094774197318712,-1.2285014321529397,-1.5284754374092606,-1.207901155452776,-1.617010153793587,-2.0250696650154727,-0.4804328028246195,1.1267997290617784,-0.36037674602536307,-1.5043472259271249,-0.4818894481092229,-0.38640210725075486,1.2878974695558154,0.47785678086219424,1.3468902900847468,0.6449210945367315
