effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00023,-0.34230066388675157,-0.2738589584281112,-0.3550083208072436,-0.8222209906590795,-0.7032958102209611,-0.378174126654363,-0.9887278164946093,-0.7461553055903338,-0.6521869925529462,-0.8194945213922201,-0.8676898416598546,-0.5858190625364464,0.34373739750381577,-0.2956230429886273,-0.1952105367906428,0.26699137542385665
BM00024,-1.0850569946560202,-1.1662636526051697,-1.0853456096166356,-0.6251751543746247,-0.30974363174847375,-1.211787738725706,0.7376720573816108,1.4046274534961773,-0.3767332810235436,-0.8095439901323889,-0.534386339215451,-0.784683141124644,-0.7904647569440217,-0.587944959313216,1.963575925565426,0.36711498990206715
BM00025,-0.6225361410319608,-0.15725084344867532,-0.6574878345878288,-1.248431564632363,0.14657684264744858,0.8682976877881905,-1.1351924598791365,0.30433312479543095,-0.6304252093717808,-0.5575678118165786,-0.7664169602349383,-0.691847651803761,0.5797350726671959,1.7099983539304235,0.34949472712924046,0.07304277215355956
BM00027,0.8027137387117935,1.2696502337549989,0.8706329705651547,0.29281503918743806,0.20023359937219778,-0.3555857214917115,-1.540450331005734,-0.44846385869470173,0.10828051439158136,0.1424428422814635,0.15357644603051965,-0.4639211283926191,-1.2117869599402749,-0.7351154698865862,0.09876182860326739,-0.8375334954768586
BM00028,0.516382997702238,0.6610392507377925,0.4284628905439006,0.4891861997344818,0.8615804946831507,0.9288473078844056,-0.6918468479645891,-1.1414834382743995,-0.3511349271554303,0.007080463140452972,-0.08622180414023509,0.07185562070560592,-0.3296069690229257,-0.6102327474774468,-1.6287470364891978,-0.6658494255017567
BM00029,0.9452307640514185,1.2473450566848419,0.9634407951520813,0.8140711990708456,0.08010225226873605,-1.4403211154299063,-0.8461914930758643,-0.5713042853659471,-1.441314403214633,-1.121638804557498,-0.009051722439594541,-0.4476827602238818,0.925290242248637,1.0487918192858945,-1.8683589047555518,2.254814355647113
BM00030,-2.1528447473469807,-2.2864968909246848,-2.1301631232404836,-1.998614160726901,0.619224579863228,-0.5512477939557566,0.447001276425521,2.054229751796972,-1.510481768885946,-1.7000649629666842,-1.711402340284984,-1.3960609194823286,-1.1892346737124266,-0.4614956355313704,0.8637344143520443,1.2175675127263514
BM00031,-0.4870862511664706,-1.0507518446570325,-0.512162224947966,-0.048446598374911484,0.03847248752535194,-0.20586429073900528,1.2604966707095833,1.7908960077062337,-0.3801195524600946,-0.5907919383083897,-0.326547078430269,-0.17037538138309877,0.8035467398740439,-0.06409248678242688,0.8344435183291609,0.2687553819895701
BM00032,1.8695507639478741,1.946134955572869,1.855795565564225,1.2987885475688432,0.8928609687814353,-0.006195065911120184,-0.48265663711882395,-0.4339230097080285,1.1569665157473148,1.4086018537192997,0.8823706820222172,1.273690243784173,-0.24340133989686247,-0.3000815755305997,-1.8296788242117608,-0.5958500597165375
BM00033,-0.8963255866926386,-0.5469384973597894,-0.7883065629724721,-1.2168074373667406,-0.6171794330152933,-0.0019824148935712787,-0.40251109981530026,-0.1962344423200629,-0.8674235758729428,-1.0060257672352428,-1.0370246926043512,-0.903155114340681,-0.4974631783536326,-0.3080599970959564,0.1928919606174225,0.1786628161820702
BM00034,-0.5268006035449476,-0.3588694575571805,-0.6051271515784757,-0.23587572579961455,-0.6700428765984455,-1.2805146462250745,-0.06263215040640124,0.8321439685291585,0.16844038711721412,-0.3228152431698698,0.06307112320212961,0.5326519573524601,0.8149282423969719,0.11109283037870485,0.9257165401596166,-0.05224777515407708
BM00035,0.6577859569587944,0.7838792403893531,0.6194115833458725,0.5769049557556747,0.3091997017602966,0.21890129798292599,0.35265389919795914,-0.7950460924725757,0.9869997625565514,0.2704606038929206,0.6373894201923469,0.19917268662383542,0.9331939977703526,1.2147727530032377,-0.7081230396823797,-0.15720042181511784
BM00036,0.1887725650476119,0.1551309403294654,0.10401505284894737,-0.05446561424322359,0.08932497916477387,0.09213117153685808,-0.7656388295970641,-0.33884044666674984,1.2185562801928136,1.2568436752887855,1.2008475848777838,1.0222649133052573,-0.00018586839331342412,-0.5213153651223514,-1.4062103748678814,-0.3431757488372346
BM00037,1.129484743175397,1.0415049044224736,1.056959972335764,0.9454786600683229,0.39131124809999407,0.5102436806691044,-0.9256169499368118,-0.9241329821319573,0.6374807366431796,1.2884484467675978,0.13723636250294846,-0.08188500317355349,-0.2897082434428666,-0.5125217248401948,-0.09135620790281258,-0.7563988098130173
BM00038,0.2797364225674275,-0.248119101791141,0.25246326528764546,0.5160679103928041,-0.23514537957919382,-0.2543541208351762,0.1334514538733378,0.2116678246797687,0.5070939987106214,0.5949150187639874,0.4108827052465845,0.6365282619592473,-0.43449466421129845,-1.0011040422731263,0.09293666868070886,-0.035223323221716896
BM00039,-0.4135847643394187,-0.1284428599528847,-0.32924353562729963,-0.6692626650868103,0.5573341383658341,0.8336539041222314,-0.193565804139899,0.23238427362027847,-0.9615978638395677,-1.0096275660785696,-1.1653939379592921,-0.9085877280465025,2.2741536510506086,3.020497864834622,1.0123984945375581,0.21719606400504393
BM00042,0.141846893967676,0.2768617442907177,0.16371043486968492,-0.420941618778517,-0.25394257738470527,-0.6754398217228571,-0.545371973136913,0.06794582251210748,0.6697666479377646,0.2880433885754629,0.47861680486988145,0.9148770729255866,-0.7971361142544225,-1.1416913893223428,-0.22192105156087072,-0.4933756563561598
BM00044,-0.7408498583734209,-0.8877432483252586,-0.7877920120563442,-0.7264977030011553,-0.37105520975355355,-0.16931014339008812,-1.2361238134036479,0.8025121553279772,-0.7227725969236477,-1.2534701520692877,-0.7916051015164011,-0.558122358914952,0.34828631726838577,-0.8030435836541964,1.2463794272591346,0.18802033718502956
BM00045,-0.888547836546862,-0.7898275259818285,-0.9203385545578436,-0.38754380346795336,0.5332082829482518,1.851327223755866,0.26628321083489903,0.3235028893283573,-0.080491166813635,-0.17990978922081644,-0.14045277271364798,-0.04010021829519946,1.1883433646193249,0.27012796583074217,1.112490695904143,-0.08328530840104613
BM00046,-0.3688644869534865,-0.22544856679298386,-0.4526447650592659,-0.5046771647446293,-0.7931136809823516,-0.033183589287499704,0.5218352452806257,-0.1776823224888247,0.8517359447749119,0.39216253040609184,0.8002844271587941,0.41315842241990763,-0.740805568413643,-0.771854162840261,-0.7580754962382105,-0.44205618466553465
BM00051,0.31459790133020077,0.10179544509594189,0.1999430393714913,-0.1413275775854166,-0.1406678807050429,-0.36488318642488843,0.025122980107664693,-0.190186001652069,-0.03497408932234298,0.16466964711808676,-0.11401795708020106,-0.2865028240804963,-0.26029107712088745,0.5411365283560426,-0.5730469090911481,-0.19681466666440123
BM00052,0.18578551410814634,0.10679338575457277,0.16757710069139148,0.004434544340217534,-0.7473904533812402,0.3004702152431133,-0.7968893232391298,0.5328930587972183,-1.5360940565337922,-1.4233948786882575,-1.7080436443451525,-1.6464095500388713,-0.0787701364621679,1.15717119923842,0.3706359570332112,0.44014490312642285
BM00053,-3.149604578734728,-3.2178546570395388,-3.171143441619758,-2.6170724045142615,-4.446569009657713,0.10718051437731309,4.3827071504906465,4.8041817066443535,-2.551393484526926,-2.6019773415583143,-2.755813223104396,-2.6537869733385238,-1.1756876806763683,-0.2798466799300344,0.6294347554183416,4.0140060897819305
BM00055,0.1907238602013561,-0.20875047731990254,0.16559017880982183,0.23002459601485856,1.1715676473742072,1.7815758924759808,0.5753818014143971,0.36280856150423696,1.1199482119597026,0.9984352600725618,0.887568748392427,0.972520596266465,-0.6278861298845723,-0.9847594448670611,0.9316604213507813,-0.4332932416158751
