effector,replicate,n_timepoints,duration_days,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,time_to_10mm2,is_control
BM00035,7,13,28,68.53401545677363,697.2104727216501,2.511605439374919,8.244963697134555,0.7301857838841347,5.532990245297292,0.017502165,11.991643323898852,FALSE
BM00035,8,13,28,7.813040148713955,220.97883617742235,0.2937057056420946,2.551048458,0.12939868989681969,1.0784509321329434,-0.157784498,,FALSE
BM00035,9,13,28,86.25388668628081,1009.1855292570145,3.177856741949343,7.735584627771225,0.1693905444548892,0.4235240667623302,0.014227502913817544,7.345870810279711,FALSE
BM00035,10,12,28,204.78616770602065,1852.5382690367592,6.767032567474465,22.265347437753682,0.1992354041416669,0.39882343034444234,0.042758326,9.330002740648203,FALSE
BM00035,11,12,28,178.4280331636536,1450.9444752484756,5.6179340727527505,14.044264129113543,0.21503525465423842,0.4910519752218633,0.061861066120553275,10.323824104796682,FALSE
BM00035,12,13,28,46.13940243782196,583.4712971560663,1.6256920560155192,4.356405828036415,0.21059015488076838,1.0846516006844107,0.048087212,10.181131991818123,FALSE
BM00036,2,13,28,212.0419321,2510.818145363214,7.406412167942296,17.280136096506734,0.17434830427529266,0.4083273846492387,0.001702122,6.581855810364981,FALSE
BM00036,3,13,28,0,0.052703695,0.000292798,0.010540739,0.13827986264519673,4.978075055227082,0,,FALSE
BM00036,4,13,28,202.37712851768143,1636.8242363218599,6.991642873732663,16.49435914267847,0.19141274155367338,0.40217794246550065,0.072344313,10.348015652397379,FALSE
BM00036,6,13,28,74.46842343424659,833.1185044571615,2.8759264344711273,9.590702159448924,0.1811678458141387,0.4377178099181931,-0.025961725,8.331871304,FALSE
BM00036,7,12,28,132.07398349169958,1231.637703581661,4.6543105623338725,11.28041775087062,0.19034810328984733,0.349022938,0.052094443,10.381625537725387,FALSE
BM00036,8,11,26,172.13764576842024,1662.6689687756511,6.437690266,15.942867680181237,0.21815208120235718,0.4341191799925902,0.009529504,7.596498825165566,FALSE
BM00036,9,13,28,14.77031587803686,211.2063677,0.5614056130877114,2.487508987666758,0.6580736738649505,6.689065015649426,-0.074713101,15.108891343894108,FALSE
BM00036,10,4,7,3.225676937,13.279749981405836,0.3894568807853565,0.40676711654756625,0.2806073494676677,0.4603662458250487,0.1396511619271972,,FALSE
BM00036,11,12,28,0,0,0,0,0,0,0,,FALSE
BM00036,12,12,28,179.2973373010393,1919.0893092111532,6.130422869933532,15.546957524764629,0.18335972753467092,0.36446104955254516,0.013895735,6.9250977392606465,FALSE
BM00036,13,13,28,219.94221592413035,1643.666862426499,7.4995337407063865,19.220545596243785,0.16630150671316793,0.35501350589708486,0.10134601662955145,9.511549428,FALSE
BM00037,1,13,28,130.25351143754534,1728.4701355819413,4.719583759,12.530106819434906,0.17392892097707777,0.504407908,-0.008736294,6.073356595897096,FALSE
BM00037,2,7,28,207.84199643338405,2213.7365266931333,4.503383107651836,10.095181498083818,0.24373135190050588,0.37436493880938704,0.099475343,6.374695272286208,FALSE
BM00037,3,12,28,102.08984970724455,1473.760781230983,3.031225157315342,9.898453394,0.15997174519939777,0.36856073569950143,-0.038131473,7.835680272591649,FALSE
BM00037,5,13,28,173.9452046180305,1622.579781137387,6.122528141,12.61124678625199,0.19420963985744633,0.4796561428935464,0.041960770614177356,9.493382849776028,FALSE
BM00037,6,3,4,3.1696466832843178,8.349530856,0.5682391665904991,0.6224535306083094,0.3156662948790991,0.43529845155181046,0.1960341382063877,,FALSE
BM00037,7,13,28,0,0,0,0,0,0,0,,FALSE
BM00037,8,13,28,0,0.051879774179722254,0.000288221,0.010375955,0.13806102158061548,4.970196776902156,0,,FALSE
BM00037,9,13,28,0,0.155639323,0.000864663,0.031127865,0.15331952558989478,5.519502921236212,0,,FALSE
BM00037,10,13,28,165.29228084214296,1742.1329853908164,5.949359219414489,15.16757077918362,0.17350756928274216,0.4182503836443082,0.012632875332819834,7.220008524229122,FALSE
BM00037,11,13,28,32.36571592,308.6777045,1.1306188009083662,3.2024347005659015,0.126703695,0.2886665483472624,0.063712639,15.777691489410794,FALSE
BM00037,12,12,28,180.15874141198748,1676.0553771708776,6.142092370876909,13.863935813595582,0.21071766582205173,0.40035517014005684,0.041036006614629215,8.211895313442195,FALSE
