effector,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,time_to_10mm2
BM00059,0.5436777592711421,-0.20757859900922268,0.5074691420842594,-0.020547169660077236,0.43774850619722994,0.2002089439289023,-0.585968308323807,-0.15648272094574384
BM00060,0.22448919626955813,0.5574993027437863,0.12134670736003865,0.24074396151762115,0.24307259458639424,-0.23383517715014873,-0.44425373070474095,-0.18911772328451443
BM00061,-0.4347866844911935,-0.4549094687242961,-0.5136745003745286,-0.2302447331279787,0.340334689508699,0.28877294142313226,0.4363861222037944,0.0464891746432324
BM00062,0.08559367099954722,0.28073485481048294,0.21239178018058597,0.03916898427517326,1.2504276067487916,0.04690361017810201,0.45659768160566894,-0.3178337870443535
BM00063,0.22830976981699644,0.08460395125104413,0.10830322361432913,0.10130478411140112,0.21948460048188018,-0.2650295084786656,-0.07870032474645527,-0.29705881597902895
BM00064,1.1026577571123566,0.5602659717742302,0.9532192647466725,0.7498166008958455,-0.3001546528357666,-0.5993904787823722,-0.10862510312280621,-0.6543445530382077
BM00065,0.8264865233125859,0.5996537312996109,0.5673727235801779,0.3619492103657433,0.40339959634478123,-0.1148763447694062,-0.2511532889669317,-0.12200186698118422
BM00067,-0.8458400858722476,1.2952040830198985,0.36989689593233543,1.4121327633413512,0.4909024686260112,0.12689482891759854,-0.03136955271980421,-0.15244488267405562
BM00068,-2.707166283415999,-2.7168594195100444,-2.868966522422349,-2.834999491204878,-4.837309123280542,-3.3323216485967158,0.923177277797249,4.2978729284083155
BM00071,0.14553646506622137,0.9295614565908709,0.058582527331648516,0.07350365785533397,0.03695851766604227,-0.25612310186617343,-0.23534773487176977,-0.44892452598745974
BM00073,-1.4817887583471963,-1.8944834785769884,-1.6704447025186664,-1.208605136733697,0.3110998129436931,0.6528076193230451,1.7938977834745322,0.2404196858197584
BM00075,0.5533865930384572,0.3308894891672103,0.49574712007626304,0.8234640373672735,1.8161753383901227,1.7108307758045054,-0.378455410668767,-0.2619397395252853
BM00076,1.4500278784061689,0.6435656004329153,1.6326242593904912,1.6166868321312253,-0.06208405454347639,-0.9026201108020162,0.48184745663860146,-0.4394672662714136
BM00077,2.244442696686675,1.5784607208443227,2.2793355336709267,2.4713974876718248,0.7354751450552143,-0.1987053633159198,1.1293335222012382,-0.21737700230436088
BM00078,0.35623840127906536,0.05576398951546205,0.42224002774219904,0.2328388437160009,1.1827125754739543,1.7175768307576684,2.100035011879171,0.3166183286467153
BM00079,1.7247724119595318,1.2641762481166408,1.9303339601034515,2.41540918838243,1.0631395700734632,0.8276106110395338,-0.18892404954968506,-0.17317716382098944
BM00080,0.7976223198082844,0.12608064882916553,0.7756953796676267,1.192055912018121,0.3966880587599775,-0.5492888444793398,0.7975595474621558,-0.625658913923442
BM00083,0.3985068464787317,0.7851805069947462,0.5021128776967654,0.05286178374927374,-0.3829134733253571,-0.2691528682378609,-0.25765849975561783,-0.7230366032245023
BM00084,-2.4542658250388585,-2.3228417987847623,-2.60968021096792,-2.552057400276208,-2.669163977417197,0.3501997538508022,2.182614540928641,3.1894662389924675
BM00085,1.5886588813126816,1.6079976815562744,1.2956687617650733,1.450387934473996,0.3862514818411307,0.1370474183482081,0.2875409757999408,-0.7351504881409134
BM00086,-0.028898042893772118,-0.1255781499887733,-0.053756215854393594,-0.058351935742357385,-0.04781687316378442,-0.4490647300094921,1.304188259668279,-0.2720708070327663
BM00088,-2.6079803269432484,-2.567723976490663,-2.774325623188499,-2.626529402615677,-3.671748339872646,-0.17736938326563198,-0.7200764882676818,4.2978729284083155
BM00090,1.0990062119970316,1.5996946014746782,1.2573575233094452,1.3490080056716167,0.24779275516187377,-0.45282827048344043,-1.696656783004899,-0.4375602811822135
BM00091,0.547055547025098,0.581368594567608,0.4717076875951569,0.29699756968428265,0.5802255347686562,1.3002031703923973,-1.0268493808140475,-0.3689316254330264
BM00092,-0.13144688326418488,0.14681200491718452,-0.10470907187232381,-0.5300028194168093,1.990281675610963,4.599760085357224,0.5752450469882732,-0.24074022130414652
BM00093,0.5841780550213164,0.7953822160907629,0.5042661387917555,-0.14353595654540766,0.1688642826700079,-0.008576035940356767,1.5335294387275606,-0.5676889297300858
Col-0,0.47107946431666414,1.507618738041968,0.5558575156637148,1.0179350976288253,-0.525892225703315,-0.48552136468747625,-0.9376499237641834,-0.8547494251927399
EmptyVector,0.9921476809075161,0.48622702755476893,1.0948514273102048,0.3104873666566481,-0.4599963273858723,-0.5138009766761166,-0.403263532214673,-0.5057826394374787
GFP,0.5215921293706134,1.0064053010730671,0.4265499715289012,0.30234855279273454,0.08006064559509059,-0.04512546487864636,-0.4338655383788454,-0.5543903791549039
