BXY_0024100	GO:0003824,GO:0004776,GO:0005524,GO:0005739,GO:0006099,GO:0006104,GO:0042709
BXY_0024200	GO:0000124,GO:0035064
BXY_0024300	GO:0005634,GO:0018024,GO:0034968
BXY_0024400	GO:0030246
BXY_0024500	GO:0030431,GO:0032222,GO:1903818
BXY_0024700	GO:0007600,GO:0045494
BXY_0024800	GO:0003690,GO:0006281,GO:0046403,GO:0046404,GO:0046939
BXY_0024900	GO:0005739
BXY_0025000	GO:0000978,GO:0000981,GO:0005515,GO:0006355,GO:0006357,GO:0009653,GO:0030154,GO:0030509,GO:0060395,GO:0070411,GO:0071144
BXY_0025200	GO:0004672,GO:0005524,GO:0006468
BXY_0025400	GO:0004683,GO:0005516,GO:0006468
BXY_0025500	GO:0006623,GO:0016192,GO:0032510,GO:0035658
BXY_0025700	GO:0003881,GO:0005794,GO:0006661,GO:0008654,GO:0016020,GO:0016780
BXY_0025800	GO:0005783,GO:0005789,GO:0006886,GO:0006888,GO:0016020,GO:0070973
BXY_0025900	GO:0005794,GO:0008146,GO:0015014,GO:0015016,GO:0016787,GO:0019213
BXY_0026000	GO:0000395,GO:0000398,GO:0003676,GO:0005634,GO:0005685,GO:0008270,GO:0030627
BXY_0026100	GO:0003677,GO:0006260,GO:0006261,GO:0008622,GO:0042276
BXY_0026200	GO:0005515
BXY_0026400	GO:0005524,GO:0005886,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359
BXY_0026600	GO:0000139,GO:0006493,GO:0009101,GO:0016020,GO:0016757,GO:0016758
BXY_0026800	GO:0018364,GO:0030488,GO:0046982,GO:0070476
BXY_0027000	GO:0004029,GO:0005737,GO:0006081,GO:0016491
BXY_0027100	GO:0005789,GO:0006616,GO:0016020,GO:0045048
BXY_0027200	GO:0000139,GO:0003756,GO:0005615,GO:0006457,GO:0016971,GO:0016972
BXY_0027300	GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0006357,GO:0030154,GO:0043565
BXY_0027400	GO:0042302
BXY_0027700	GO:0000070,GO:0000796,GO:0005634
BXY_0027800	GO:0004930,GO:0007186,GO:0016020
BXY_0027900	GO:0042302
BXY_0028000	GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0006357,GO:0030154,GO:0043565
BXY_0028100	GO:0004672,GO:0004674,GO:0004675,GO:0005524,GO:0005886,GO:0006468,GO:0007178,GO:0016020,GO:0043235,GO:0071363
BXY_0028200	GO:0005783,GO:0005794,GO:0005886,GO:0016020
BXY_0028300	GO:0042302
BXY_0028400	GO:0042302
BXY_0028500	GO:0042302
BXY_0028600	GO:0042302
BXY_0028700	GO:0000049,GO:0000166,GO:0002161,GO:0004812,GO:0004822,GO:0005524,GO:0006418,GO:0006428
BXY_0028800	GO:0000445,GO:0006397
BXY_0029000	GO:0005509
BXY_0029100	GO:0003009,GO:0005515,GO:1901387,GO:1903078
BXY_0029200	GO:0005506,GO:0015671,GO:0016491,GO:0019825,GO:0020037
BXY_0029600	GO:0004672,GO:0004674,GO:0004697,GO:0005524,GO:0006468
BXY_0029900	GO:0005515,GO:0005739,GO:0019843,GO:0032543,GO:0043024
BXY_0030700	GO:0000417,GO:0000785,GO:0005634,GO:0006325,GO:0006338,GO:0006351,GO:0006355,GO:0031491
BXY_0030800	GO:0005515
BXY_0030900	GO:0005515,GO:0007156,GO:0007416,GO:0045202
BXY_0031000	GO:0006511,GO:0031593,GO:0034098,GO:0036503
BXY_0031200	GO:0003676,GO:0003723,GO:0004386,GO:0005524,GO:0005622,GO:0034458
BXY_0031300	GO:0005524,GO:0016301
BXY_0031600	GO:0003735,GO:0005840,GO:0006412,GO:0022625
BXY_0031700	GO:0003779,GO:0007015,GO:0015629,GO:0030027,GO:0034198,GO:0051015,GO:0140007,GO:1904262
BXY_0032300	GO:0046982
BXY_0032500	GO:0010508,GO:0032007,GO:0034198,GO:0038202,GO:1904262,GO:1990130
BXY_0032600	GO:0008277
BXY_0032900	GO:0005515
BXY_0033200	GO:0005515
BXY_0033300	GO:0005737
BXY_0033400	GO:0009055,GO:0020037
BXY_0033500	GO:0003735,GO:0005840,GO:0006412
BXY_0033600	GO:0005739,GO:0007178,GO:0045087
BXY_0034000	GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0043565
BXY_0034100	GO:0005615,GO:0005737,GO:0006508,GO:0008237,GO:0008270,GO:0016020,GO:0042277,GO:0043171,GO:0070006
BXY_0034200	GO:0004516,GO:0005829,GO:0009435,GO:0034355
BXY_0034300	GO:0015078,GO:0015986
BXY_0034500	GO:0005789,GO:0030544,GO:0051085,GO:0071218
BXY_0034600	GO:0000380,GO:0000398,GO:0003676,GO:0003723,GO:0045292,GO:0071011
BXY_0034700	GO:0005743,GO:0032981
BXY_0034800	GO:0000776,GO:0004672,GO:0004674,GO:0004712,GO:0005524,GO:0005634,GO:0006468,GO:0007059,GO:0007094,GO:0018105,GO:0033316,GO:0034501
BXY_0034900	GO:0005886,GO:0006897,GO:0016020,GO:0018996,GO:0030659
BXY_0035100	GO:0004672,GO:0004674,GO:0005524,GO:0006468
BXY_0035200	GO:0042302
BXY_0035300	GO:0007160
