,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
14295,AGIS_Os03g022970, 3.808529e-02, 4.063208e+00, 4.567699e-02,8.355288e-01,9.278726e-01,Not_significant,1.606261e+01,1.773128e+01,1.725880e+01,1.477347e+01,1.821057e+01,1.796054e+01,1.589418e+01,1.552224e+01
14296,AGIS_Os03g022980, 2.979226e-01, 3.115583e+00, 1.574972e+00,2.411042e-01,4.989118e-01,Not_significant,8.135071e+00,9.359793e+00,8.785354e+00,4.973009e+00,1.177098e+01,8.980269e+00,8.964835e+00,8.037405e+00
14297,AGIS_Os03g022990,-2.869155e-01, 1.448558e+00, 2.863848e-01,6.055190e-01,7.978201e-01,Not_significant,2.220542e+00,1.191775e+00,2.356624e+00,6.768144e+00,1.198064e+00,3.094552e+00,2.706774e+00,2.009351e+00
14298,AGIS_Os03g023000,-1.495344e-01, 2.306260e+00, 2.837473e-01,6.071591e-01,7.987543e-01,Not_significant,6.723885e+00,4.738032e+00,5.302403e+00,3.784338e+00,4.942013e+00,6.330685e+00,4.179259e+00,3.248451e+00
14299,AGIS_Os03g023010, 1.239318e+00, 4.439553e+00, 4.859838e+01,6.539751e-05,2.037591e-03,UP,1.465143e+01,1.060970e+01,1.289212e+01,1.341499e+01,3.099990e+01,2.770939e+01,2.741421e+01,3.553203e+01
14301,AGIS_Os03g023030, 6.568297e-01, 7.132089e-01, 2.019201e+00,1.890393e-01,4.375415e-01,Not_significant,6.848401e-01,1.482452e+00,1.490218e+00,1.406998e+00,2.036709e+00,1.739421e+00,1.710681e+00,2.227031e+00
14303,AGIS_Os03g023050, 8.030827e-01, 1.749402e+00, 3.261655e+00,1.044045e-01,3.122168e-01,Not_significant,3.216673e+00,2.528888e+00,2.512577e+00,1.091636e+00,7.457948e+00,3.135004e+00,1.948877e+00,4.621508e+00
14309,AGIS_Os03g023110, 1.183724e+00, 4.649030e+00, 2.483128e+01,7.569837e-04,1.188327e-02,UP,1.487971e+01,1.270258e+01,1.646171e+01,1.491903e+01,5.407761e+01,2.485755e+01,2.373299e+01,3.869676e+01
14310,AGIS_Os03g023120, 1.275433e+00,-2.296614e-01, 2.007516e+00,1.902039e-01,4.393498e-01,Not_significant,1.245164e-01,7.557597e-01,6.931246e-02,1.843652e+00,8.685963e-01,7.483557e-01,5.846631e-01,1.523758e+00
14311,AGIS_Os03g023130,-7.648279e-02, 5.357337e+00, 1.442169e-01,7.129333e-01,8.627000e-01,Not_significant,3.824728e+01,4.150865e+01,3.635439e+01,5.133115e+01,3.180860e+01,3.923811e+01,5.235983e+01,3.680462e+01
14314,AGIS_Os03g023160,-7.292954e-01, 4.125847e+00, 1.590391e+01,3.169539e-03,3.244227e-02,Not_significant,2.826522e+01,1.883586e+01,1.932085e+01,2.025591e+01,1.726710e+01,9.708398e+00,1.383703e+01,1.187192e+01
