GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g001410	2	8	20	0	0	2	0	0
AGIS_Os01g001420	1	0	0	0	0	1	0	8
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	85	21	64	13	75	13	38	46
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	24	20	47	17	0	6	16	9
AGIS_Os01g001470	4	16	26	55	0	12	50	54
AGIS_Os01g001480	28	7	12	9	0	0	7	8
AGIS_Os01g001490	0	0	0	24	22	12	28	20
AGIS_Os01g001500	0	0	14	2	0	6	9	4
AGIS_Os01g001510	14	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	16	6	0	4
AGIS_Os01g001540	0	0	0	0	0	0	0	0
AGIS_Os01g001550	0	0	0	0	18	1	0	6
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	105	75	178	98	78	222	203	270
AGIS_Os01g001580	113	129	147	74	81	103	180	165
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	0	0	0	0
AGIS_Os01g001640	0	0	4	0	10	2	20	32
AGIS_Os01g001650	18	7	12	24	44	1	25	4
AGIS_Os01g001660	0	0	0	0	0	0	0	0
AGIS_Os01g001670	0	0	0	0	0	0	0	0
AGIS_Os01g001680	809	602	974	749	699	701	1048	956
AGIS_Os01g001690	22	44	30	19	6	8	2	8
AGIS_Os01g001700	0	14	0	0	0	0	0	0
AGIS_Os01g001710	38	20	79	55	0	8	2	18
AGIS_Os01g001720	0	4	16	0	0	10	0	0
AGIS_Os01g001730	16	18	13	0	12	2	40	30
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	67	42	58	47	88	56	46	70
AGIS_Os01g001790	0	10	14	22	0	0	1	1
