,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
36470,AGIS_Os07g041620,-1.318866e-02, 5.700347e+00, 6.149327e-03,9.396214e-01,9.844099e-01,Not_significant,5.231903e+01,4.348745e+01,5.792645e+01,5.528018e+01,5.206248e+01,5.475353e+01,5.497610e+01,4.485450e+01
36471,AGIS_Os07g041630,-2.579627e-01, 3.564110e+00, 1.623733e+00,2.419852e-01,6.695624e-01,Not_significant,1.267671e+01,9.995623e+00,1.501272e+01,1.377735e+01,9.390709e+00,1.198901e+01,1.169778e+01,9.766445e+00
36472,AGIS_Os07g041640, 1.316015e-01, 3.760220e+00, 1.200366e-01,7.391043e-01,9.271030e-01,Not_significant,1.574650e+01,1.975326e+01,4.491677e+00,1.425177e+01,1.325890e+01,9.916141e+00,1.199195e+01,1.867590e+01
36476,AGIS_Os07g041680, 1.901450e-02, 3.344959e+00, 9.999502e-03,9.230618e-01,9.801061e-01,Not_significant,9.363980e+00,1.008217e+01,8.497767e+00,1.229713e+01,9.633992e+00,1.228780e+01,8.669507e+00,1.013835e+01
36477,AGIS_Os07g041690, 8.623263e+00, 2.879303e+00, 1.027958e+02,1.924110e-05,3.744074e-03,UP,0.000000e+00,0.000000e+00,1.618622e-01,0.000000e+00,1.165324e+01,1.363236e+01,1.476066e+01,1.828783e+01
36478,AGIS_Os07g041700,-2.513367e-01, 4.192433e+00, 1.740777e+00,2.272719e-01,6.551737e-01,Not_significant,2.371914e+01,1.661610e+01,2.225606e+01,1.668084e+01,2.128723e+01,1.632148e+01,1.299561e+01,1.608876e+01
36482,AGIS_Os07g041740,-8.499512e-02, 9.404651e-01, 5.574849e-02,8.198938e-01,9.529255e-01,Not_significant,3.533577e+00,1.860657e+00,6.474489e-01,1.992591e+00,2.262528e+00,2.110214e+00,7.440895e-01,1.908014e+00
36483,AGIS_Os07g041750, 4.540928e-01, 2.306031e+00, 3.122885e+00,1.191588e-01,5.096230e-01,Not_significant,3.489407e+00,3.872763e+00,3.540736e+00,5.863912e+00,5.814455e+00,6.050526e+00,5.208626e+00,5.400650e+00
36484,AGIS_Os07g041760, 5.095238e-01,-1.230815e-01, 1.012829e+00,3.467018e-01,7.529073e-01,Not_significant,1.015903e+00,4.976176e-01,7.688456e-01,6.072659e-01,1.289398e+00,6.349318e-01,1.332439e+00,8.893286e-01
36485,AGIS_Os07g041770, 1.414235e+00,-1.311973e+00, 8.595738e-01,3.837528e-01,7.729280e-01,Not_significant,5.962912e-01,1.081777e-01,0.000000e+00,1.518165e-01,2.676109e-01,2.427680e-01,1.211308e+00,3.072226e-01
