GeneID	pho2HPmock_1	phoHPmock_2	pho2HPmock_3	pho2HPmock_4	pho2HPmyc_1	pho2HPmyc_2	pho2HPmyc_3	pho2HPmyc_4
AGIS_Os01g002820	333	309	357	382	239	398	687	409
AGIS_Os01g002830	342	317	738	774	277	241	591	182
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	133	83	126	38	53	6	45	40
AGIS_Os01g002870	0	0	0	1	0	0	0	0
AGIS_Os01g002880	1	0	0	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1247	767	1454	980	930	1447	1309	1430
AGIS_Os01g002910	6131	6513	8268	6867	7083	9100	10211	10240
AGIS_Os01g002920	159	117	218	141	212	157	167	343
AGIS_Os01g002930	0	0	19	6	1	0	7	0
AGIS_Os01g002940	2929	1538	1868	1795	2444	783	1007	2329
AGIS_Os01g002950	0	2	0	4	2	0	4	0
AGIS_Os01g002960	0	0	0	22	14	12	10	0
AGIS_Os01g002970	0	0	0	0	0	0	0	12
AGIS_Os01g002980	218	132	154	208	148	142	190	198
AGIS_Os01g002990	111	113	229	154	120	159	128	151
AGIS_Os01g003000	1931	1850	2138	3027	1849	1933	2190	2349
AGIS_Os01g003010	10	30	64	17	27	36	4	24
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	178	144	217	261	177	222	236	201
AGIS_Os01g003050	65	106	124	275	77	141	94	120
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2493	2695	4121	3554	3278	4927	5073	5203
AGIS_Os01g003080	349	367	428	445	355	468	457	674
AGIS_Os01g003090	10	4	22	29	9	14	7	6
AGIS_Os01g003100	6	6	0	25	0	12	6	8
AGIS_Os01g003110	122	139	97	213	84	132	138	70
AGIS_Os01g003120	44	60	24	77	101	149	99	196
AGIS_Os01g003130	1176	1347	1823	2012	993	1882	2195	2160
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1992	658	893	1432	1848	2023	1770	2012
AGIS_Os01g003160	44	67	24	58	10	31	26	17
AGIS_Os01g003170	760	1405	2260	2516	1269	2097	2403	2037
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	2	4	0	3	0	0
AGIS_Os01g003210	6	32	0	10	37	56	59	78
AGIS_Os01g003220	293	285	1140	324	678	1857	1717	1353
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	967	547	1612	898	1074	976	974	1303
AGIS_Os01g003250	0	0	0	0	0	0	1	4
AGIS_Os01g003260	1	25	24	8	30	24	9	16
AGIS_Os01g003270	6	8	0	0	2	0	0	8
AGIS_Os01g003280	18	69	280	66	242	661	588	476
AGIS_Os01g003290	1276	987	829	1177	1137	969	1002	1487
AGIS_Os01g003300	533	540	776	707	534	609	638	627
AGIS_Os01g003310	71	6	4	14	0	16	36	10
AGIS_Os01g003320	790	463	755	701	476	383	595	711
AGIS_Os01g003330	30	25	14	34	11	36	7	34
AGIS_Os01g003340	0	0	0	0	0	12	6	0
AGIS_Os01g003350	19	14	6	13	8	12	30	18
AGIS_Os01g003360	46	48	8	20	38	33	10	21
AGIS_Os01g003370	11	29	38	14	18	48	45	40
AGIS_Os01g003380	1	0	0	0	0	0	0	0
AGIS_Os01g003390	10	6	26	0	8	24	21	22
AGIS_Os01g003400	0	6	0	1	0	20	6	8
AGIS_Os01g003410	0	2	0	0	0	10	0	0
AGIS_Os01g003420	2	7	4	0	0	0	4	13
AGIS_Os01g003430	0	0	0	0	0	0	11	0
AGIS_Os01g003440	59	66	10	35	122	163	175	128
AGIS_Os01g003450	1301	665	1620	1305	1155	930	908	1243
AGIS_Os01g003460	33	125	34	56	53	72	82	66
AGIS_Os01g003470	18	31	52	34	4	46	52	12
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	2283	461	694	575	1260	872	668	1203
AGIS_Os01g003500	4920	3866	5473	3740	3052	4654	5635	6007
AGIS_Os01g003510	16	89	112	65	20	101	77	43
AGIS_Os01g003520	5997	5451	8329	10709	6487	6876	8217	7796
AGIS_Os01g003530	54	42	48	70	38	70	19	89
AGIS_Os01g003540	121	141	251	95	134	146	122	147
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	47	52	34	34	92	85	95	48
AGIS_Os01g003570	0	0	0	0	0	1	0	0
AGIS_Os01g003580	563	369	540	846	166	335	612	222
AGIS_Os01g003590	219	205	159	443	117	218	445	234
AGIS_Os01g003600	3456	3846	5552	4230	2886	4774	4860	4501
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	3	4	0	4	7	0	0	0
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	1082	156	306	211	1190	208	88	562
AGIS_Os01g003700	3055	2564	3103	3269	2471	3752	3687	4055
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	64	19	0	26	6	18	21	29
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	108	142	170	39	45	46	110	140
AGIS_Os01g003750	117	172	52	75	152	175	161	266
AGIS_Os01g003760	426	412	575	603	377	563	808	627
AGIS_Os01g003770	107	224	208	174	125	134	256	196
AGIS_Os01g003780	166	192	319	208	126	244	230	196
AGIS_Os01g003790	5226	9890	13397	10591	8221	11876	11775	9916
AGIS_Os01g003800	1860	1360	2337	2303	1186	1552	1350	1614
AGIS_Os01g003810	710	938	2034	2424	1436	2192	2610	3003
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	231	234	160	277	198	208	172	202
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	545	759	818	935	563	1095	971	1046
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	2	12	0	1	0	2	18	8
AGIS_Os01g003920	223	375	591	334	389	487	559	532
AGIS_Os01g003930	2676	2082	5001	3303	2142	2526	2227	2425
AGIS_Os01g003940	1032	786	1344	1073	664	828	931	867
AGIS_Os01g003950	27	135	50	38	50	102	89	52
AGIS_Os01g003960	295	326	219	233	235	324	254	510
AGIS_Os01g003970	154	128	129	130	84	112	74	197
AGIS_Os01g003980	41	59	30	71	51	57	71	104
AGIS_Os01g003990	9	11	0	2	2	2	14	6
AGIS_Os01g004000	148	179	60	127	149	209	133	134
AGIS_Os01g004010	290	282	379	243	162	515	287	368
AGIS_Os01g004020	76	64	139	77	49	43	35	16
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	29	5	0	4	8	0	1	7
AGIS_Os01g004050	269	191	269	153	238	333	219	270
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	4	0	0	0	0
AGIS_Os01g004080	14	4	46	32	28	15	9	62
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	16	0	14	22	0	4	2	12
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	3	0	8	6	16	13	9	16
AGIS_Os01g004130	328	423	364	222	451	510	384	642
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	0	0	2	0	0	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	6	4	4	12	41	64	103	112
AGIS_Os01g004190	0	0	0	0	0	10	0	10
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	0	0	0	0	0	0	8	8
AGIS_Os01g004220	0	1	0	8	6	16	6	12
AGIS_Os01g004230	0	0	0	0	6	0	0	0
AGIS_Os01g004240	0	0	0	0	0	0	0	14
AGIS_Os01g004250	15	3	6	18	0	1	0	8
AGIS_Os01g004260	1547	1378	1317	1867	1432	1925	1945	2282
AGIS_Os01g004270	93	154	116	171	117	285	170	363
AGIS_Os01g004280	19	15	0	10	0	0	18	34
AGIS_Os01g004290	13	0	0	6	6	2	0	0
AGIS_Os01g004300	28	1	0	10	4	10	16	10
AGIS_Os01g004310	862	938	684	901	814	1386	1251	1334
AGIS_Os01g004320	0	0	26	0	0	2	0	1
AGIS_Os01g004330	9316	10278	17230	12426	12474	13554	11148	10463
AGIS_Os01g004340	2333	2828	1661	3483	2531	2505	3601	4219
AGIS_Os01g004350	242	341	81	125	186	168	182	432
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	1147	1409	537	1632	1101	1851	1649	1890
AGIS_Os01g004380	851	889	968	887	966	1030	962	1443
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	775	998	1767	1201	1116	1345	1558	1405
